Buyer(budget=36.42, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=37.09, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=37.94, needs=0.15, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 28, 5, 5, 18], day_calories=2530, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=40.67, needs=0.25, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [0.756, 0.333597798858695, 0.22]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 48, 5, 5, 18], day_calories=950, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=44.04, needs=0.35, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [0.756, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 58, 5, 5, 28], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=45.03, needs=0.45, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [0.756, 0.333597798858695, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 58, 5, 5, 28], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45439336, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=47.7, needs=0.55, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [0.756, 0.333597798858695, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 58, 5, 5, 38], day_calories=0, estimated=[array([0.1581375, 0.33     ]), array([0.45439336, 0.41      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=50.13, needs=0.65, best_offers=[[2.898, 0.1581374999168262, 0.33], [6.13, 0.4615160109541624, 0.4], [0.756, 0.333597798858695, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 26, 5, 5, 58, 5, 5, 51], day_calories=2530, estimated=[array([0.1581375, 0.33     ]), array([0.47665077, 0.4485    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=52.52, needs=0.75, best_offers=[[2.898, 0.1581374999168262, 0.33], [1.167, 0.4958397949768266, 0.5], [0.756, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 26, 5, 5, 58, 5, 5, 58], day_calories=2860, estimated=[array([0.1581375, 0.33     ]), array([0.50343449, 0.5175    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=54.68, needs=0.85, best_offers=[[2.898, 0.1581374999168262, 0.33], [1.167, 0.4958397949768266, 0.5], [0.756, 0.333597798858695, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 36, 5, 5, 58, 15, 5, 68], day_calories=2860, estimated=[array([0.1581375, 0.33     ]), array([0.50343449, 0.5175    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

