Buyer(budget=96.13, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=97.23, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=97.99, needs=0.15, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 25, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=97.94, needs=0.25, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.675, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 35, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=98.54, needs=0.35, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.675, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 35, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45145612, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=98.28, needs=0.45, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.675, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 35, 5, 5, 15], day_calories=4290, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=101.1, needs=0.55, best_offers=[[0.212, 0.1604339754958401, 0.36], [0.675, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 35, 5, 5, 25], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.48063641, 0.46      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=106.29, needs=0.65, best_offers=[[0.212, 0.1604339754958401, 0.36], [0.675, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 35, 5, 5, 25], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.48063641, 0.46      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=107.97, needs=0.75, best_offers=[[0.212, 0.1604339754958401, 0.36], [2.027, 0.5090042451013539, 0.53], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 15, 5, 5, 45, 5, 5, 35], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.48063641, 0.46      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=107.78, needs=0.85, best_offers=[[0.212, 0.1604339754958401, 0.36], [2.027, 0.5090042451013539, 0.53], [-0.207, 0.3336468556873092, 0.22], [0.76, 0.7443972332901315, 0.34]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[15, 15, 15, 5, 55, 5, 5, 35], day_calories=3640, estimated=[array([0.16748398, 0.32      ]), array([0.50900425, 0.53      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

