Buyer(budget=96.01, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=97.32, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=98.22, needs=0.15, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=97.87, needs=0.25, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.691, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 35, 5, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=97.84, needs=0.35, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.691, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 45, 5, 5], day_calories=1430, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=100.03, needs=0.45, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.691, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 64, 5, 5], day_calories=1430, estimated=[array([0.18044557, 0.36      ]), array([0.57363354, 0.37      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=100.56, needs=0.35, best_offers=[[0.756, 0.18056825731624537, 0.361675], [1.439, 0.4606035415630477, 0.43], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 81, 5, 5], day_calories=3410, estimated=[array([0.18044557, 0.36      ]), array([0.57363354, 0.37      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=101.03, needs=0.45, best_offers=[[0.756, 0.18056825731624537, 0.361675], [1.439, 0.4606035415630477, 0.43], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 25, 5, 91, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.57363354, 0.37      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=100.95, needs=0.55, best_offers=[[0.756, 0.18056825731624537, 0.361675], [1.439, 0.4606035415630477, 0.43], [-0.151, 0.35636303311321194, 0.33], [0.238, 0.7476432118697329, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 35, 5, 100, 5, 5], day_calories=3640, estimated=[array([0.18044557, 0.36      ]), array([0.57363354, 0.37      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=101.58, needs=0.65, best_offers=[[0.756, 0.18056825731624537, 0.361675], [1.439, 0.4606035415630477, 0.43], [-0.151, 0.35636303311321194, 0.33], [0.238, 0.7476432118697329, 0.29]], product_found=[1, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 65, 5, 100, 5, 5], day_calories=1820, estimated=[array([0.18056826, 0.361675  ]), array([0.57363354, 0.37      ]), array([0.35636303, 0.33      ]), array([0.74764321, 0.29      ]), [0, 1]])

