Buyer(budget=38.69, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=39.07, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=39.8, needs=0.15, best_offers=[[-0.047, 0.1627856498140578, 0.24], [9.414, 0.45614357753387247, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=41.5, needs=0.25, best_offers=[[-0.047, 0.1627856498140578, 0.24], [0.444, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 42, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16278565, 0.24      ]), array([0.45614358, 0.38      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=42.23, needs=0.35, best_offers=[[0.579, 0.16327457315652022, 0.25], [0.444, 0.4560909543560866, 0.38], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 55, 5, 5, 5, 5, 5, 5], day_calories=2700, estimated=[array([0.16278565, 0.24      ]), array([0.45614358, 0.38      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=42.98, needs=0.45, best_offers=[[0.646, 0.164655430522536, 0.275], [1.797, 0.4766507668132244, 0.4485], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 5, 5, 5], day_calories=2530, estimated=[array([0.16327457, 0.25      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=43.63, needs=0.55, best_offers=[[0.382, 0.16437166721436347, 0.27], [1.797, 0.4766507668132244, 0.4485], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 76, 5, 5, 5, 5, 5, 5], day_calories=2530, estimated=[array([0.16465543, 0.275     ]), array([0.47665077, 0.4485    ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=43.99, needs=0.65, best_offers=[[0.382, 0.16437166721436347, 0.27], [0.697, 0.5034344872023415, 0.5175000000000001], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 84, 5, 5, 5, 5, 5, 5], day_calories=1980, estimated=[array([0.16465543, 0.275     ]), array([0.47716053, 0.45      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=44.83, needs=0.75, best_offers=[[0.382, 0.16437166721436347, 0.27], [0.697, 0.5034344872023415, 0.5175000000000001], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 95, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16465543, 0.275     ]), array([0.50343449, 0.5175    ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=44.68, needs=0.85, best_offers=[[0.382, 0.16437166721436347, 0.27], [0.697, 0.5034344872023415, 0.5175000000000001], [1.476, 0.33586895806392536, 0.39], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=2000, estimated=[array([0.16465543, 0.275     ]), array([0.50343449, 0.5175    ]), array([0.35275441, 0.47      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

