Buyer(budget=57.23, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=58.89, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=60.72, needs=0.15, best_offers=[[11.98, 0.18120355229911989, 0.37], [22.439, 0.5588320903296438, 0.35], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 18, 5, 5], day_calories=2530, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=62.23, needs=0.25, best_offers=[[11.98, 0.18120355229911989, 0.37], [22.439, 0.5588320903296438, 0.35], [2.633, 0.3376374134492455, 0.4]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 18, 5, 5], day_calories=1200, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=63.56, needs=0.35, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [2.633, 0.3376374134492455, 0.4]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 48, 5, 5, 5, 25, 5, 5], day_calories=1100, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=66.09, needs=0.45, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [2.633, 0.3376374134492455, 0.4]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 35, 5, 5], day_calories=3030, estimated=[array([0.16278565, 0.24      ]), array([0.55883209, 0.35      ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=68.76, needs=0.55, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [1.91, 0.34167494319541336, 0.42000000000000004]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 76, 5, 5, 5, 45, 5, 5], day_calories=2050, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=69.9, needs=0.65, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [1.91, 0.34167494319541336, 0.42000000000000004]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 86, 5, 5, 5, 62, 15, 5], day_calories=1600, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.34167494, 0.42      ]), [0, 1], [0, 1]])

Buyer(budget=69.88, needs=0.75, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [1.91, 0.34167494319541336, 0.42000000000000004]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 86, 15, 5, 5, 72, 15, 5], day_calories=2860, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.34167494, 0.42      ]), [0, 1], [0, 1]])

Buyer(budget=71.76, needs=0.85, best_offers=[[1.292, 0.18121118024666685, 0.37], [22.439, 0.5588320903296438, 0.35], [1.91, 0.34167494319541336, 0.42000000000000004]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 86, 25, 5, 5, 82, 15, 5], day_calories=2860, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.34167494, 0.42      ]), [0, 1], [0, 1]])

