Buyer(budget=36.74, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=38.02, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=39.44, needs=0.15, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [9.076, 0.6989990043160518, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 25], day_calories=1820, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=40.69, needs=0.25, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [1.745, 0.6989614399091678, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 32], day_calories=1820, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.698999, 0.26    ]), [0, 1]])

Buyer(budget=41.3, needs=0.35, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [1.669, 0.6923521357092028, 0.234]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 49], day_calories=1820, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.69896144, 0.26      ]), [0, 1]])

Buyer(budget=43.85, needs=0.45, best_offers=[[0.599, 0.1615838477317702, 0.374], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [0.861, 0.6939040796670765, 0.24]], product_found=[1, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 73], day_calories=2370, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=46.22, needs=0.55, best_offers=[[0.638, 0.1604339754958401, 0.36], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [0.861, 0.6939040796670765, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 83], day_calories=1100, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=46.73, needs=0.65, best_offers=[[0.638, 0.1604339754958401, 0.36], [1.735, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [0.861, 0.6939040796670765, 0.24]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 96], day_calories=2530, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=49.59, needs=0.75, best_offers=[[0.638, 0.1604339754958401, 0.36], [1.735, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [0.861, 0.6939040796670765, 0.24]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=1980, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=49.97, needs=0.85, best_offers=[[0.638, 0.1604339754958401, 0.36], [1.735, 0.5001567205803191, 0.51], [-0.148, 0.31233635032886786, 0.3], [0.861, 0.6939040796670765, 0.24]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=3410, estimated=[array([0.16641689, 0.4255    ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

