Buyer(budget=34.33, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=34.59, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=34.1, needs=0.15, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 18, 5, 5], day_calories=3410, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=35.58, needs=0.25, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 39, 5, 5, 27, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.31, needs=0.15, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 49, 5, 5, 37, 5, 15], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.56, needs=0.25, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 49, 5, 5, 47, 5, 15], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.55883209, 0.35      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.86, needs=0.35, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 49, 5, 5, 57, 5, 25], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.55883209, 0.35      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=38.57, needs=0.45, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 59, 5, 5, 67, 5, 25], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.48916611, 0.483     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.09, needs=0.55, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 59, 5, 15, 77, 5, 35], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.48916611, 0.483     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=38.99, needs=0.65, best_offers=[[2.096, 0.18120355229911989, 0.37], [3.439, 0.5588320903296438, 0.35], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 59, 5, 15, 87, 5, 45], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.48916611, 0.483     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

