Buyer(budget=44.17, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=44.54, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=45.58, needs=0.15, best_offers=[[6.353, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 26, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=47.27, needs=0.25, best_offers=[[6.353, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 17, 5, 5, 5, 5], day_calories=550, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=50.31, needs=0.35, best_offers=[[6.353, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 30, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=50.22, needs=0.45, best_offers=[[6.353, 0.16744293742796548, 0.32], [1.609, 0.46374659327437595, 0.37], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 43, 5, 5, 18, 5], day_calories=3410, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=51.47, needs=0.55, best_offers=[[6.353, 0.16744293742796548, 0.32], [1.609, 0.46374659327437595, 0.37], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 43, 5, 5, 18, 5], day_calories=0, estimated=[array([0.17965034, 0.35      ]), array([0.46374659, 0.37      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=50.18, needs=0.65, best_offers=[[6.353, 0.16744293742796548, 0.32], [1.609, 0.46374659327437595, 0.37], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 1, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 33, 5, 5, 28, 5], day_calories=4130, estimated=[array([0.17965034, 0.35      ]), array([0.46374659, 0.37      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=51.33, needs=0.75, best_offers=[[6.353, 0.16744293742796548, 0.32], [1.609, 0.46374659327437595, 0.37], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 43, 5, 5, 38, 15], day_calories=0, estimated=[array([0.17965034, 0.35      ]), array([0.50015672, 0.51      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=51.73, needs=0.73, best_offers=[[6.353, 0.16744293742796548, 0.32], [1.609, 0.46374659327437595, 0.37], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 43, 5, 5, 48, 25], day_calories=2860, estimated=[array([0.17965034, 0.35      ]), array([0.50015672, 0.51      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

