Buyer(budget=252.15, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=254.54, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=243.63, needs=0.15, best_offers=[[8.574, 0.1581374999168262, 0.33], [19.162, 0.4615160109541624, 0.4], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 18], day_calories=3410, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=240.78, needs=0.25, best_offers=[[1.359, 0.1581249679310291, 0.33], [19.162, 0.4615160109541624, 0.4], [1.813, 0.3418259967582802, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 38], day_calories=950, estimated=[array([0.1581375, 0.33     ]), array([0.46151601, 0.4       ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=247.9, needs=0.35, best_offers=[[3.689, 0.15886595382620533, 0.34], [8.2, 0.4615438251786105, 0.4], [1.813, 0.3418259967582802, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 48], day_calories=3410, estimated=[array([0.15812497, 0.33      ]), array([0.46151601, 0.4       ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=244.9, needs=0.45, best_offers=[[3.689, 0.15886595382620533, 0.34], [8.2, 0.4615438251786105, 0.4], [1.813, 0.3418259967582802, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 65, 48], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.46154383, 0.4       ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=247.13, needs=0.55, best_offers=[[3.689, 0.15886595382620533, 0.34], [9.684, 0.48916610787275516, 0.48300000000000004], [1.813, 0.3418259967582802, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 65, 61], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.46154383, 0.4       ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=266.03, needs=0.65, best_offers=[[3.689, 0.15886595382620533, 0.34], [9.684, 0.48916610787275516, 0.48300000000000004], [2.321, 0.30873611792652056, 0.27]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 65, 71], day_calories=400, estimated=[array([0.18390881, 0.4       ]), array([0.48916611, 0.483     ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=266.38, needs=0.75, best_offers=[[3.689, 0.15886595382620533, 0.34], [9.684, 0.48916610787275516, 0.48300000000000004], [2.321, 0.30873611792652056, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 65, 71], day_calories=1430, estimated=[array([0.18390881, 0.4       ]), array([0.48916611, 0.483     ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=270.88, needs=0.85, best_offers=[[3.689, 0.15886595382620533, 0.34], [9.684, 0.48916610787275516, 0.48300000000000004], [2.321, 0.30873611792652056, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 15, 65, 71], day_calories=800, estimated=[array([0.18390881, 0.4       ]), array([0.48916611, 0.483     ]), array([0.30873612, 0.27      ]), [0, 1], [0, 1]])

