Buyer(budget=39.65, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=40.14, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=40.17, needs=0.15, best_offers=[[4.474, 0.18204785917795752, 0.38], [8.111, 0.4911747326313196, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 5], day_calories=3410, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=42.05, needs=0.25, best_offers=[[4.474, 0.18204785917795752, 0.38], [0.464, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 5], day_calories=1430, estimated=[array([0.18204786, 0.38      ]), array([0.49117473, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=47.25, needs=0.35, best_offers=[[4.474, 0.18204785917795752, 0.38], [0.464, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 55, 5], day_calories=0, estimated=[array([0.18204786, 0.38      ]), array([0.48112862, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=48.2, needs=0.45, best_offers=[[4.474, 0.18204785917795752, 0.38], [2.686, 0.46374659327437595, 0.37], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 68, 5], day_calories=2530, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=50.68, needs=0.55, best_offers=[[4.474, 0.18204785917795752, 0.38], [2.686, 0.46374659327437595, 0.37], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 78, 5], day_calories=1430, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=52.99, needs=0.65, best_offers=[[4.474, 0.18204785917795752, 0.38], [2.686, 0.46374659327437595, 0.37], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 88, 5], day_calories=4290, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=53.65, needs=0.75, best_offers=[[4.474, 0.18204785917795752, 0.38], [2.686, 0.46374659327437595, 0.37], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 98, 5], day_calories=1430, estimated=[array([0.18390881, 0.4       ]), array([0.46890729, 0.39      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=54.21, needs=0.85, best_offers=[[4.474, 0.18204785917795752, 0.38], [2.686, 0.46374659327437595, 0.37], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 98, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.46890729, 0.39      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

