Buyer(budget=39.77, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=40.5, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=40.94, needs=0.15, best_offers=[[-0.031, 0.148181516556606, 0.33], [6.514, 0.4036602805234537, 0.20700000000000002], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[32, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=41.5, needs=0.25, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.344, 0.40404192023275065, 0.21], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[49, 5, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.14818152, 0.33      ]), array([0.40366028, 0.207     ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=41.02, needs=0.35, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.344, 0.40404192023275065, 0.21], [0.447, 0.31654914631304043, 0.25], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[69, 5, 5, 5, 5, 5, 5, 5], day_calories=2300, estimated=[array([0.14818152, 0.33      ]), array([0.40366028, 0.207     ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=42.23, needs=0.45, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.344, 0.40404192023275065, 0.21], [0.447, 0.31654914631304043, 0.25], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[79, 5, 5, 5, 5, 5, 5, 5], day_calories=1650, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=43.43, needs=0.49, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.332, 0.40279052768626394, 0.2], [0.447, 0.31654914631304043, 0.25], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[93, 5, 5, 5, 5, 5, 5, 5], day_calories=1830, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=44.16, needs=0.59, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.545, 0.597177458515485, 0.33059999999999995], [0.833, 0.3577697245046531, 0.4], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 18, 5, 5], day_calories=1830, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=43.59, needs=0.69, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.308, 0.6147839780777563, 0.29753999999999997], [0.833, 0.3577697245046531, 0.4], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 25, 5, 5], day_calories=2860, estimated=[array([0.15154516, 0.374     ]), array([0.59717746, 0.3306    ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=44.68, needs=0.79, best_offers=[[0.397, 0.15154515602361815, 0.374], [0.308, 0.6147839780777563, 0.29753999999999997], [0.833, 0.3577697245046531, 0.4], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 25, 5, 5], day_calories=0, estimated=[array([0.15154516, 0.374     ]), array([0.61478398, 0.29754   ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

