Buyer(budget=35.86, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=36.62, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=37.17, needs=0.15, best_offers=[[2.714, 0.1581374999168262, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 28], day_calories=1100, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=37.25, needs=0.25, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.501, 0.4625803258285499, 0.404], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 38], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=37.13, needs=0.35, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.501, 0.4625803258285499, 0.404], [0.521, 0.30984947026949766, 0.28]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 58], day_calories=1200, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=38.22, needs=0.45, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.501, 0.4625803258285499, 0.404], [0.521, 0.30984947026949766, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 58], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=38.99, needs=0.43, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.501, 0.4625803258285499, 0.404], [0.635, 0.2718176516705397, 0.19949999999999998]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 22, 5, 5, 15, 5, 68], day_calories=2600, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=40.12, needs=0.53, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.501, 0.4625803258285499, 0.404], [0.75, 0.30873611792652056, 0.27]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 42, 5, 5, 25, 5, 78], day_calories=800, estimated=[array([0.15818152, 0.33      ]), array([0.57130193, 0.36      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=39.8, needs=0.63, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.848, 0.4958397949768266, 0.5], [0.75, 0.30873611792652056, 0.27]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 42, 5, 5, 25, 5, 88], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.57130193, 0.36      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=39.96, needs=0.73, best_offers=[[2.714, 0.1581374999168262, 0.33], [0.848, 0.4958397949768266, 0.5], [0.75, 0.30873611792652056, 0.27]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 42, 5, 5, 25, 5, 98], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.49583979, 0.5       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

