Buyer(budget=35.17, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [-1.696, 1.6690687730179332, 0.34]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=31.42, needs=0.05, best_offers=[[4.09, 0.18121405086642794, 0.37], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [-1.696, 1.6690687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=2200, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=31.22, needs=0.15, best_offers=[[4.09, 0.18121405086642794, 0.37], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [11.362, 1.6413749991682618, 0.33]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 26, 5, 5], day_calories=2700, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=32.45, needs=0.25, best_offers=[[4.09, 0.18121405086642794, 0.37], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [-1.208, 1.6484629353892486, 0.34]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 16, 5, 5], day_calories=2700, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.641375, 0.33    ])])

Buyer(budget=33.55, needs=0.15, best_offers=[[1.608, 0.18121118024666685, 0.37], [-0.214, 0.5489835300359232, 0.35], [2.814, 0.3592347405693904, 0.35], [-0.627, 0.7808408758221697, 0.3], [-1.208, 1.6484629353892486, 0.34]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 26, 5, 5], day_calories=2700, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.641375, 0.33    ])])

Buyer(budget=33.44, needs=0.25, best_offers=[[1.608, 0.18121118024666685, 0.37], [-0.214, 0.5489835300359232, 0.35], [2.814, 0.3592347405693904, 0.35], [-0.627, 0.7808408758221697, 0.3], [3.689, 1.695490453022568, 0.33915000000000006]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 39, 5, 5], day_calories=2700, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=34.83, needs=0.35, best_offers=[[1.608, 0.18121118024666685, 0.37], [-0.214, 0.5489835300359232, 0.35], [2.814, 0.3592347405693904, 0.35], [-0.627, 0.7808408758221697, 0.3], [3.689, 1.695490453022568, 0.33915000000000006]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 59, 5, 5], day_calories=0, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.69549045, 0.33915   ])])

Buyer(budget=35.18, needs=0.45, best_offers=[[1.608, 0.18121118024666685, 0.37], [-0.214, 0.5489835300359232, 0.35], [2.814, 0.3592347405693904, 0.35], [-0.627, 0.7808408758221697, 0.3], [3.689, 1.695490453022568, 0.33915000000000006]], product_found=[0, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 49, 5, 5], day_calories=0, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.69549045, 0.33915   ])])

Buyer(budget=34.28, needs=0.55, best_offers=[[0.266, 0.18988356191321265, 0.45751887500000005], [-0.214, 0.5489835300359232, 0.35], [0.338, 0.3577360175693577, 0.4], [-0.627, 0.7808408758221697, 0.3], [3.689, 1.695490453022568, 0.33915000000000006]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 60, 5, 5], day_calories=2550, estimated=[array([0.18121405, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35923474, 0.35      ]), array([0.78084088, 0.3       ]), array([1.69549045, 0.33915   ])])

Buyer(budget=35.57, needs=0.65, best_offers=[[0.184, 0.199163137384118, 0.52614670625], [-0.214, 0.5489835300359232, 0.35], [0.338, 0.3577360175693577, 0.4], [-0.627, 0.7808408758221697, 0.3], [3.689, 1.695490453022568, 0.33915000000000006]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 68, 5, 5], day_calories=1100, estimated=[array([0.18988356, 0.45751888]), array([0.54898353, 0.35      ]), array([0.35923474, 0.35      ]), array([0.78084088, 0.3       ]), array([1.69549045, 0.33915   ])])

