Buyer(budget=36.32, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=38.1, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=39.35, needs=0.15, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 18, 5, 5], day_calories=2530, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=39.83, needs=0.25, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [2.002, 0.3576925870778498, 0.34]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 28, 5, 5], day_calories=1600, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=39.97, needs=0.35, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [2.002, 0.3576925870778498, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 38, 5, 5], day_calories=1100, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=40.45, needs=0.45, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [0.634, 0.35779350314150604, 0.34]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 38, 25, 5, 5, 48, 5, 5], day_calories=3650, estimated=[array([0.18121118, 0.37      ]), array([0.45897466, 0.39      ]), array([0.35769259, 0.34      ]), [0, 1], [0, 1]])

Buyer(budget=39.61, needs=0.55, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [0.754, 0.3661349146643526, 0.391]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 38, 25, 5, 5, 65, 5, 5], day_calories=3030, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.3577935, 0.34     ]), [0, 1], [0, 1]])

Buyer(budget=40.71, needs=0.65, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [0.901, 0.3508725381910557, 0.462]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 49, 25, 5, 5, 75, 5, 5], day_calories=1200, estimated=[array([0.18121118, 0.37      ]), array([0.55883209, 0.35      ]), array([0.36613491, 0.391     ]), [0, 1], [0, 1]])

Buyer(budget=41.51, needs=0.55, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [0.901, 0.3508725381910557, 0.462]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 59, 45, 5, 5, 75, 5, 5], day_calories=0, estimated=[array([0.18121118, 0.37      ]), array([0.57763536, 0.342     ]), array([0.35087254, 0.462     ]), [0, 1], [0, 1]])

Buyer(budget=42.48, needs=0.65, best_offers=[[3.531, 0.18120355229911989, 0.37], [6.197, 0.5588320903296438, 0.35], [0.901, 0.3508725381910557, 0.462]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 79, 45, 5, 5, 85, 5, 5], day_calories=2860, estimated=[array([0.18121118, 0.37      ]), array([0.57763536, 0.342     ]), array([0.35087254, 0.462     ]), [0, 1], [0, 1]])

