Buyer(budget=54.85, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [-1.696, 1.6690687730179332, 0.34]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=55.86, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3], [-1.696, 1.6690687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=56.25, needs=0.15, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [-1.696, 1.6690687730179332, 0.34]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 28, 5, 5], day_calories=1820, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=59.05, needs=0.25, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.665, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [-1.696, 1.6690687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 48, 5, 5], day_calories=1430, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=62.98, needs=0.35, best_offers=[[1.095, 0.18121118024666685, 0.37], [0.665, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [-1.696, 1.6690687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 58, 5, 5], day_calories=1100, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=63.24, needs=0.45, best_offers=[[1.095, 0.18121118024666685, 0.37], [0.665, 0.5711286232315719, 0.36], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [3.969, 1.695490453022568, 0.33915000000000006]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 69, 5, 5], day_calories=2700, estimated=[array([0.18121118, 0.37      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=64.99, needs=0.55, best_offers=[[1.095, 0.18121118024666685, 0.37], [1.395, 0.5776353615299892, 0.34199999999999997], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [3.969, 1.695490453022568, 0.33915000000000006]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 82, 5, 5], day_calories=2530, estimated=[array([0.18121118, 0.37      ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=68.27, needs=0.65, best_offers=[[1.095, 0.18121118024666685, 0.37], [1.395, 0.5776353615299892, 0.34199999999999997], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [3.969, 1.695490453022568, 0.33915000000000006]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 92, 5, 5], day_calories=0, estimated=[array([0.18121118, 0.37      ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=70.68, needs=0.75, best_offers=[[1.095, 0.18121118024666685, 0.37], [1.395, 0.5776353615299892, 0.34199999999999997], [-0.151, 0.35636303311321194, 0.33], [32.677, 0.7775740070795885, 0.29], [3.969, 1.695490453022568, 0.33915000000000006]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 92, 5, 5], day_calories=0, estimated=[array([0.18121118, 0.37      ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

Buyer(budget=70.86, needs=0.85, best_offers=[[1.095, 0.18121118024666685, 0.37], [1.395, 0.5776353615299892, 0.34199999999999997], [0.158, 0.31656310661761616, 0.25], [32.677, 0.7775740070795885, 0.29], [3.969, 1.695490453022568, 0.33915000000000006]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 92, 5, 5], day_calories=1600, estimated=[array([0.18121118, 0.37      ]), array([0.57112862, 0.36      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), array([1.66906877, 0.34      ])])

