Buyer(budget=38.95, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=40.01, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.65, needs=0.15, best_offers=[[4.315, 0.1612035522991199, 0.37], [8.628, 0.4615160109541624, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 5, 15], day_calories=3410, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.65, needs=0.25, best_offers=[[4.315, 0.1612035522991199, 0.37], [0.608, 0.4625803258285499, 0.404], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 5, 29], day_calories=1980, estimated=[array([0.16120355, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.78, needs=0.35, best_offers=[[0.253, 0.15901389851930162, 0.342], [0.608, 0.4625803258285499, 0.404], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 55, 5, 5, 5, 5, 29], day_calories=1100, estimated=[array([0.16120355, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=40.8, needs=0.25, best_offers=[[0.238, 0.15965033736473105, 0.35], [0.608, 0.4625803258285499, 0.404], [0.237, 0.2727321233489996, 0.21]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 73, 5, 5, 5, 5, 29], day_calories=2780, estimated=[array([0.16203032, 0.38      ]), array([0.46258033, 0.404     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=41.85, needs=0.31, best_offers=[[0.238, 0.15965033736473105, 0.35], [0.608, 0.4625803258285499, 0.404], [0.79, 0.2718176516705397, 0.19949999999999998]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 39], day_calories=400, estimated=[array([0.16203032, 0.38      ]), array([0.46258033, 0.404     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=40.78, needs=0.41, best_offers=[[0.238, 0.15965033736473105, 0.35], [1.319, 0.45436590597951576, 0.40950000000000003], [0.818, 0.2718562861677489, 0.2]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 15, 5, 5, 39], day_calories=3660, estimated=[array([0.16203032, 0.38      ]), array([0.46258033, 0.404     ]), array([0.27181765, 0.1995    ]), [0, 1], [0, 1]])

Buyer(budget=42.72, needs=0.51, best_offers=[[0.238, 0.15965033736473105, 0.35], [1.319, 0.45436590597951576, 0.40950000000000003], [0.818, 0.2718562861677489, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 15, 5, 5, 39], day_calories=1200, estimated=[array([0.16203032, 0.38      ]), array([0.46258033, 0.404     ]), array([0.27273212, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=43.1, needs=0.5, best_offers=[[0.238, 0.15965033736473105, 0.35], [1.319, 0.45436590597951576, 0.40950000000000003], [0.818, 0.2718562861677489, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 100, 5, 15, 5, 5, 39], day_calories=2860, estimated=[array([0.16203032, 0.38      ]), array([0.46258033, 0.404     ]), array([0.27273212, 0.21      ]), [0, 1], [0, 1]])

