Buyer(budget=46.07, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=46.85, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=46.83, needs=0.15, best_offers=[[7.087, 0.18120355229911989, 0.37], [13.033, 0.5588320903296438, 0.35], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 18, 5, 5], day_calories=2530, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=45.84, needs=0.25, best_offers=[[7.087, 0.18120355229911989, 0.37], [13.033, 0.5588320903296438, 0.35], [0.708, 0.3376374134492455, 0.4]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 18, 5, 5], day_calories=2400, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=46.35, needs=0.35, best_offers=[[7.087, 0.18120355229911989, 0.37], [13.033, 0.5588320903296438, 0.35], [0.699, 0.33586895806392536, 0.39]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 45, 5, 5, 5, 18, 5, 5], day_calories=400, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=45.62, needs=0.25, best_offers=[[7.087, 0.18120355229911989, 0.37], [13.033, 0.5588320903296438, 0.35], [0.699, 0.33586895806392536, 0.39]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 45, 5, 5, 5, 31, 25, 5], day_calories=3650, estimated=[array([0.18120355, 0.37      ]), array([0.45897466, 0.39      ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=46.77, needs=0.15, best_offers=[[7.087, 0.18120355229911989, 0.37], [0.988, 0.5776353615299892, 0.34199999999999997], [0.699, 0.33586895806392536, 0.39]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 55, 5, 5, 5, 45, 25, 5], day_calories=1430, estimated=[array([0.18120355, 0.37      ]), array([0.55883209, 0.35      ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=46.86, needs=0.05, best_offers=[[7.087, 0.18120355229911989, 0.37], [0.988, 0.5776353615299892, 0.34199999999999997], [1.72, 0.35943747792182384, 0.17]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 55, 45, 5], day_calories=1750, estimated=[array([0.18120355, 0.37      ]), array([0.55883209, 0.35      ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=47.06, needs=0.15, best_offers=[[7.087, 0.18120355229911989, 0.37], [0.988, 0.5776353615299892, 0.34199999999999997], [1.72, 0.35943747792182384, 0.17]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 75, 55, 5], day_calories=1100, estimated=[array([0.18430965, 0.40425   ]), array([0.57763536, 0.342     ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=46.01, needs=0.25, best_offers=[[7.087, 0.18120355229911989, 0.37], [0.988, 0.5776353615299892, 0.34199999999999997], [1.72, 0.35943747792182384, 0.17]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 92, 65, 5], day_calories=3250, estimated=[array([0.18585458, 0.42      ]), array([0.57763536, 0.342     ]), array([0.33763741, 0.4       ]), [0, 1], [0, 1]])

