Buyer(budget=40.4, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [-2.212, 1.5729573974236246, 0.25]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=40.84, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [-2.212, 1.5729573974236246, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=40.91, needs=0.15, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 26, 5], day_calories=2700, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=42.94, needs=0.25, best_offers=[[0.604, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 19, 5], day_calories=550, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=46.55, needs=0.35, best_offers=[[0.604, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 29, 5], day_calories=0, estimated=[array([0.18381871, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=47.75, needs=0.45, best_offers=[[0.604, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 39, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=47.77, needs=0.55, best_offers=[[0.604, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[0, 0, 0, 0, 1], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 49, 5], day_calories=2700, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=47.24, needs=0.65, best_offers=[[0.604, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[0, 0, 0, 0, 1], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 39, 5], day_calories=2700, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=48.42, needs=0.75, best_offers=[[0.185, 0.1858545751765138, 0.42], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 26, 5], day_calories=550, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=49.15, needs=0.65, best_offers=[[0.185, 0.1858545751765138, 0.42], [0.514, 0.5137466949017925, 0.54], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [17.52, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[15, 16, 5, 5, 5, 5, 43, 5], day_calories=2530, estimated=[array([0.18585458, 0.42      ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

