Buyer(budget=68.97, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=69.84, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=70.85, needs=0.15, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 25, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=72.8, needs=0.25, best_offers=[[-0.029, 0.1839088124947509, 0.4], [0.594, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 35, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=76.54, needs=0.35, best_offers=[[-0.029, 0.1839088124947509, 0.4], [0.594, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 35, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.48112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=77.66, needs=0.45, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.173, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 35, 5], day_calories=1430, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=78.33, needs=0.55, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.173, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [2.046, 0.8348871469640972, 0.39]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 15, 45, 5], day_calories=3640, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=79.53, needs=0.65, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.173, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [2.046, 0.8348871469640972, 0.39]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[15, 25, 5, 5, 5, 15, 55, 5], day_calories=3640, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=81.68, needs=0.75, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.173, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [2.046, 0.8348871469640972, 0.39]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[15, 35, 5, 5, 5, 15, 65, 5], day_calories=1820, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.83488715, 0.39      ]), [0, 1]])

Buyer(budget=84.66, needs=0.85, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.173, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [2.046, 0.8348871469640972, 0.39]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[15, 45, 5, 5, 5, 15, 75, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.81715243, 0.4356    ]), [0, 1]])

