Buyer(budget=36.65, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=37.34, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=38.68, needs=0.15, best_offers=[[2.52, 0.16327134743372518, 0.25], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=39.85, needs=0.25, best_offers=[[2.52, 0.16327134743372518, 0.25], [-0.152, 0.4589746587895088, 0.39], [1.018, 0.3576925870778498, 0.34]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 41, 5, 5, 5, 18, 5, 5], day_calories=3100, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=40.58, needs=0.35, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.358, 0.4543933608150149, 0.41], [1.516, 0.333613724584972, 0.22]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 61, 5, 5, 18, 28, 5, 5], day_calories=3030, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=41.66, needs=0.45, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.434, 0.4766507668132244, 0.4485], [1.516, 0.333613724584972, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 71, 5, 5, 28, 28, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.45439336, 0.41      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=42.79, needs=0.55, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.434, 0.4766507668132244, 0.4485], [1.516, 0.333613724584972, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 81, 5, 5, 28, 28, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.47665077, 0.4485    ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=43.24, needs=0.65, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.434, 0.4766507668132244, 0.4485], [1.516, 0.333613724584972, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 91, 5, 5, 28, 28, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.47716053, 0.45      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=44.82, needs=0.75, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.434, 0.4766507668132244, 0.4485], [1.516, 0.333613724584972, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 91, 5, 5, 28, 28, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.50343449, 0.5175    ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=46.73, needs=0.85, best_offers=[[2.52, 0.16327134743372518, 0.25], [2.434, 0.4766507668132244, 0.4485], [1.516, 0.333613724584972, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 28, 28, 5, 5], day_calories=0, estimated=[array([0.18118713, 0.37      ]), array([0.50343449, 0.5175    ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

