Buyer(budget=50.25, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=50.76, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=51.51, needs=0.15, best_offers=[[-0.029, 0.16126125547256887, 0.37], [17.183, 0.4944124997504786, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=53.31, needs=0.25, best_offers=[[0.482, 0.16203031811869553, 0.38], [0.453, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 45, 5, 5, 5, 5, 5], day_calories=1980, estimated=[array([0.16126126, 0.37      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=58.41, needs=0.35, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.453, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 62, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16126126, 0.37      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=60.26, needs=0.45, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.453, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 72, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16203032, 0.38      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=63.32, needs=0.55, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.453, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 82, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16203032, 0.38      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=65.85, needs=0.65, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.534, 0.5135536515659138, 0.26970000000000005], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 99, 5, 5, 5, 5, 5], day_calories=3960, estimated=[array([0.16203032, 0.38      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=69.27, needs=0.75, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.534, 0.5135536515659138, 0.26970000000000005], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16203032, 0.38      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=71.84, needs=0.85, best_offers=[[0.829, 0.15901389851930162, 0.342], [0.912, 0.4878828668357592, 0.48], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 18], day_calories=4510, estimated=[array([0.16203032, 0.38      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

