Buyer(budget=68.06, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=68.71, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=70.29, needs=0.15, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 35, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=73.1, needs=0.25, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 52, 5, 5, 5], day_calories=400, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=76.25, needs=0.35, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 52, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=77.26, needs=0.45, best_offers=[[-0.037, 0.1674839842149281, 0.32], [2.428, 0.4545398320042938, 0.41], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 62, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=78.78, needs=0.55, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.335, 0.4489322881784583, 0.39], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 1, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 72, 5, 5, 5], day_calories=1430, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=78.97, needs=0.65, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.335, 0.4489322881784583, 0.39], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 72, 15, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.44893229, 0.39      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=79.54, needs=0.75, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.335, 0.4489322881784583, 0.39], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 82, 15, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.59717746, 0.3306    ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=80.43, needs=0.85, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.335, 0.4489322881784583, 0.39], [0.724, 0.333597798858695, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 92, 15, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.59717746, 0.3306    ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

