Buyer(budget=39.45, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=40.05, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=41.52, needs=0.15, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[32, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=43.55, needs=0.25, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.796, 0.4460909543560866, 0.38], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[42, 5, 5, 15, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=46.03, needs=0.35, best_offers=[[-0.031, 0.148181516556606, 0.33], [1.882, 0.4461680158195276, 0.38], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[42, 5, 5, 32, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=47.01, needs=0.45, best_offers=[[-0.031, 0.148181516556606, 0.33], [1.882, 0.4461680158195276, 0.38], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[52, 5, 5, 32, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.44616802, 0.38      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=48.84, needs=0.55, best_offers=[[-0.031, 0.148181516556606, 0.33], [1.882, 0.4461680158195276, 0.38], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[62, 5, 5, 42, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.44616802, 0.38      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=49.21, needs=0.65, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.664, 0.4545114155536084, 0.41], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[62, 5, 5, 49, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.44616802, 0.38      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=49.8, needs=0.75, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.664, 0.4545114155536084, 0.41], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[72, 5, 5, 59, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.45451142, 0.41      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=50.56, needs=0.85, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.17, 0.45182120845161866, 0.400775], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[72, 5, 5, 66, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.45451142, 0.41      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

