Buyer(budget=34.96, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=35.41, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=36.01, needs=0.15, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 28, 5, 5, 5], day_calories=2530, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=37.77, needs=0.25, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 48, 5, 5, 5], day_calories=1830, estimated=[array([0.16744294, 0.32      ]), array([0.45151601, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=39.5, needs=0.35, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 58, 5, 5, 18], day_calories=3410, estimated=[array([0.16744294, 0.32      ]), array([0.45145612, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=41.0, needs=0.45, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 68, 5, 5, 31], day_calories=1100, estimated=[array([0.15886595, 0.34      ]), array([0.46154383, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=43.18, needs=0.55, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 68, 5, 5, 48], day_calories=0, estimated=[array([0.16158385, 0.374     ]), array([0.46154383, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=44.77, needs=0.65, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 78, 5, 5, 61], day_calories=3960, estimated=[array([0.16158385, 0.374     ]), array([0.46154383, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=46.07, needs=0.75, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 91, 5, 5, 74], day_calories=3410, estimated=[array([0.16158385, 0.374     ]), array([0.50015672, 0.51      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=47.38, needs=0.85, best_offers=[[2.214, 0.16744293742796548, 0.32], [4.7, 0.45151601095416244, 0.4], [0.543, 0.333597798858695, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 100, 5, 5, 87], day_calories=550, estimated=[array([0.16641689, 0.4255    ]), array([0.50015672, 0.51      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

