Buyer(budget=36.96, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=37.84, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=38.11, needs=0.15, best_offers=[[4.122, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.139, 1.8781321264241773, 0.31]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 26, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=36.5, needs=0.25, best_offers=[[0.324, 0.16612245353161303, 0.3], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 11, 5, 5, 5], day_calories=3250, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=36.41, needs=0.35, best_offers=[[0.324, 0.16612245353161303, 0.3], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 28, 5, 5, 5], day_calories=1430, estimated=[array([0.16612245, 0.3       ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=38.06, needs=0.25, best_offers=[[0.324, 0.16612245353161303, 0.3], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 38, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=39.03, needs=0.15, best_offers=[[0.324, 0.16612245353161303, 0.3], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 38, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=39.36, needs=0.25, best_offers=[[0.666, 0.15680015835182864, 0.31], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 48, 5, 5, 5], day_calories=2200, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=39.45, needs=0.35, best_offers=[[0.355, 0.15616817516443396, 0.3], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 22, 5, 48, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

Buyer(budget=39.84, needs=0.45, best_offers=[[0.173, 0.15614747581862481, 0.3], [0.128, 0.4543933608150149, 0.41], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28], [-2.493, 1.971249679310291, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 29, 5, 58, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), array([1.87813213, 0.31      ])])

