Buyer(budget=36.89, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=39.02, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=40.83, needs=0.15, best_offers=[[3.541, 0.16744293742796548, 0.32], [7.524, 0.44614357753387246, 0.38], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 18, 28, 5, 5, 5], day_calories=2530, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=42.11, needs=0.25, best_offers=[[3.541, 0.16744293742796548, 0.32], [7.524, 0.44614357753387246, 0.38], [1.774, 0.3418259967582802, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 38, 41, 5, 25, 5], day_calories=2380, estimated=[array([0.16744294, 0.32      ]), array([0.44614358, 0.38      ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=42.43, needs=0.35, best_offers=[[3.541, 0.16744293742796548, 0.32], [7.524, 0.44614357753387246, 0.38], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 55, 41, 5, 35, 5], day_calories=400, estimated=[array([0.16744294, 0.32      ]), array([0.44614358, 0.38      ]), array([0.341826, 0.2     ]), [0, 1], [0, 1]])

Buyer(budget=44.57, needs=0.45, best_offers=[[3.541, 0.16744293742796548, 0.32], [0.955, 0.46284038801489474, 0.437], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 62, 41, 5, 35, 5], day_calories=2860, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.341826, 0.2     ]), [0, 1], [0, 1]])

Buyer(budget=45.09, needs=0.55, best_offers=[[3.541, 0.16744293742796548, 0.32], [0.997, 0.4606035415630477, 0.43], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 72, 41, 5, 35, 5], day_calories=2860, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.341826, 0.2     ]), [0, 1], [0, 1]])

Buyer(budget=45.52, needs=0.65, best_offers=[[3.541, 0.16744293742796548, 0.32], [0.997, 0.4606035415630477, 0.43], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 72, 51, 5, 35, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=48.7, needs=0.75, best_offers=[[3.541, 0.16744293742796548, 0.32], [0.997, 0.4606035415630477, 0.43], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 15, 85, 51, 5, 35, 5], day_calories=3660, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=51.51, needs=0.85, best_offers=[[3.541, 0.16744293742796548, 0.32], [0.997, 0.4606035415630477, 0.43], [1.774, 0.3418259967582802, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 95, 61, 5, 35, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

