Buyer(budget=32.74, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=33.53, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=32.35, needs=0.15, best_offers=[[1.688, 0.14961069677654792, 0.35], [-0.214, 0.5489835300359232, 0.35], [2.578, 0.3175996017264207, 0.26]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[18, 5, 5, 5, 5, 28, 5, 5], day_calories=3100, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=32.96, needs=0.25, best_offers=[[1.688, 0.14961069677654792, 0.35], [-0.214, 0.5489835300359232, 0.35], [2.578, 0.3175996017264207, 0.26]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 38, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.3175996, 0.26     ]), [0, 1], [0, 1]])

Buyer(budget=31.96, needs=0.15, best_offers=[[1.688, 0.14961069677654792, 0.35], [-0.214, 0.5489835300359232, 0.35], [2.578, 0.3175996017264207, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 48, 5, 22], day_calories=3550, estimated=[array([0.1496107, 0.35     ]), array([0.54898353, 0.35      ]), array([0.3175996, 0.26     ]), [0, 1], [0, 1]])

Buyer(budget=31.97, needs=0.05, best_offers=[[0.351, 0.15044434881761354, 0.36], [-0.214, 0.5489835300359232, 0.35], [0.31, 0.316581007211509, 0.25]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[42, 5, 5, 5, 5, 48, 5, 22], day_calories=2300, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=32.09, needs=0.05, best_offers=[[0.725, 0.15523831159114065, 0.414], [0.617, 0.40279052768626394, 0.2], [0.31, 0.316581007211509, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[62, 5, 5, 5, 5, 48, 5, 22], day_calories=3080, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=30.9, needs=0.05, best_offers=[[0.998, 0.1854193026302881, 0.41592625000000005], [0.617, 0.40279052768626394, 0.2], [1.585, 0.3577697245046531, 0.4]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[82, 5, 5, 5, 5, 61, 5, 22], day_calories=2300, estimated=[array([0.15523831, 0.414     ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), [0, 1], [0, 1]])

Buyer(budget=29.73, needs=0.12, best_offers=[[0.998, 0.1854193026302881, 0.41592625000000005], [0.617, 0.40279052768626394, 0.2], [1.585, 0.3577697245046531, 0.4]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[95, 5, 5, 5, 5, 71, 5, 22], day_calories=3030, estimated=[array([0.15523831, 0.414     ]), array([0.54898353, 0.35      ]), array([0.35776972, 0.4       ]), [0, 1], [0, 1]])

Buyer(budget=29.96, needs=0.05, best_offers=[[0.998, 0.1854193026302881, 0.41592625000000005], [0.617, 0.40279052768626394, 0.2], [1.585, 0.3577697245046531, 0.4]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[95, 5, 5, 5, 5, 81, 5, 39], day_calories=800, estimated=[array([0.1854193 , 0.41592625]), array([0.54898353, 0.35      ]), array([0.35776972, 0.4       ]), [0, 1], [0, 1]])

