Buyer(budget=37.83, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=39.78, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=41.37, needs=0.15, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 28, 5, 5, 5, 5], day_calories=2530, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=43.16, needs=0.25, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 48, 5, 5, 5, 5], day_calories=400, estimated=[array([0.16681321, 0.31      ]), array([0.44614358, 0.38      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=43.7, needs=0.35, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 58, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.44614358, 0.38      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=47.83, needs=0.45, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 68, 15, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.7, needs=0.55, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 68, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45453983, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.52, needs=0.65, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 68, 15, 15, 5, 5], day_calories=4290, estimated=[array([0.16681321, 0.31      ]), array([0.45453983, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=57.66, needs=0.75, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 78, 15, 15, 5, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.59717746, 0.3306    ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=63.22, needs=0.85, best_offers=[[3.806, 0.16744293742796548, 0.32], [8.121, 0.44614357753387246, 0.38], [1.685, 0.2926946134885004, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 25, 78, 15, 15, 5, 5], day_calories=2530, estimated=[array([0.16744294, 0.32      ]), array([0.59717746, 0.3306    ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

