Buyer(budget=49.73, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=51.46, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=53.54, needs=0.15, best_offers=[[8.099, 0.16744293742796548, 0.32], [18.49, 0.45151601095416244, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 28, 18, 5, 5, 5], day_calories=2530, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=55.44, needs=0.25, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [1.812, 0.2926946134885004, 0.21]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 48, 25, 5, 5, 5], day_calories=1830, estimated=[array([0.16681321, 0.31      ]), array([0.45151601, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=56.3, needs=0.35, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [1.812, 0.2926946134885004, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 58, 25, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.45145612, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=59.72, needs=0.45, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [0.931, 0.292643404154992, 0.209]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 68, 25, 5, 5, 5], day_calories=3260, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=62.61, needs=0.55, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [0.96, 0.2927321233489996, 0.21]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 81, 25, 5, 5, 5], day_calories=1830, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=65.31, needs=0.65, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [0.96, 0.2927321233489996, 0.21]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 91, 35, 5, 5, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=64.78, needs=0.75, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [1.261, 0.3565687972778683, 0.48510000000000003]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 16, 5, 100, 35, 5, 5, 5], day_calories=2150, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=66.2, needs=0.85, best_offers=[[8.099, 0.16744293742796548, 0.32], [2.607, 0.45145612017386827, 0.4], [1.261, 0.3565687972778683, 0.48510000000000003]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 16, 5, 100, 35, 5, 5, 5], day_calories=1100, estimated=[array([0.16744294, 0.32      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

