Buyer(budget=125.84, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=126.78, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=127.0, needs=0.15, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [-0.129, 0.3293223533572821, 0.35]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 18, 5], day_calories=2530, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=129.2, needs=0.25, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 48, 5, 5, 5, 5, 18, 5], day_calories=2380, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=133.23, needs=0.35, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 5, 35, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45609095, 0.38      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=134.06, needs=0.45, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 68, 15, 5, 5, 5, 35, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.49117473, 0.36      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=135.77, needs=0.55, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 68, 15, 5, 5, 5, 45, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.49117473, 0.36      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=138.84, needs=0.65, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[25, 68, 25, 5, 5, 5, 45, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.49117473, 0.36      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=139.57, needs=0.75, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[25, 78, 25, 5, 5, 5, 55, 5], day_calories=4290, estimated=[array([0.16278565, 0.24      ]), array([0.49117473, 0.36      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

Buyer(budget=140.93, needs=0.85, best_offers=[[40.35, 0.18204785917795752, 0.38], [77.103, 0.4911747326313196, 0.36], [0.948, 0.3376374134492455, 0.4]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[35, 88, 25, 5, 5, 5, 65, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.50900425, 0.53      ]), array([0.32932235, 0.35      ]), [0, 1], [0, 1]])

