Buyer(budget=51.12, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=51.83, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=52.34, needs=0.15, best_offers=[[9.318, 0.18204785917795752, 0.38], [17.427, 0.4911747326313196, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 5], day_calories=3410, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=52.9, needs=0.25, best_offers=[[0.709, 0.18381870672462275, 0.4], [0.917, 0.48112862323157185, 0.36], [0.745, 0.3418259967582802, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 47, 5], day_calories=2380, estimated=[array([0.18204786, 0.38      ]), array([0.49117473, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=52.81, needs=0.35, best_offers=[[0.738, 0.18039871508390365, 0.36000000000000004], [1.186, 0.46319614525171077, 0.36], [0.745, 0.3418259967582802, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 60, 5], day_calories=3410, estimated=[array([0.18204786, 0.38      ]), array([0.48112862, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=55.57, needs=0.45, best_offers=[[0.738, 0.18039871508390365, 0.36000000000000004], [1.186, 0.46319614525171077, 0.36], [0.745, 0.3418259967582802, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 73, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=56.5, needs=0.55, best_offers=[[0.738, 0.18039871508390365, 0.36000000000000004], [0.883, 0.4662887512175652, 0.38], [0.745, 0.3418259967582802, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 80, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=56.09, needs=0.65, best_offers=[[0.738, 0.18039871508390365, 0.36000000000000004], [0.883, 0.4662887512175652, 0.38], [0.745, 0.3418259967582802, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 90, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=57.7, needs=0.75, best_offers=[[0.738, 0.18039871508390365, 0.36000000000000004], [0.883, 0.4662887512175652, 0.38], [0.745, 0.3418259967582802, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 90, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=59.42, needs=0.85, best_offers=[[0.09, 0.1848264237111224, 0.41], [0.883, 0.4662887512175652, 0.38], [0.745, 0.3418259967582802, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 100, 5], day_calories=1980, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

