Buyer(budget=38.14, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=39.18, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=39.66, needs=0.15, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [10.308, 0.7189990043160518, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 25, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=42.41, needs=0.25, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [0.711, 0.7217059221478751, 0.27]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 32, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=45.82, needs=0.35, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [2.265, 0.7346236756737441, 0.28]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 45, 5, 5, 5, 5], day_calories=2220, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=47.1, needs=0.45, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [3.395, 0.734723983166762, 0.28]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 55, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.73462368, 0.28      ]), [0, 1]])

Buyer(budget=49.13, needs=0.55, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [1.919, 0.7477039097416067, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 62, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.73472398, 0.28      ]), [0, 1]])

Buyer(budget=51.76, needs=0.65, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [0.847, 0.747682955947747, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 69, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.74770391, 0.29      ]), [0, 1]])

Buyer(budget=54.53, needs=0.75, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [0.847, 0.747682955947747, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 79, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.74770391, 0.29      ]), [0, 1]])

Buyer(budget=57.36, needs=0.85, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [1.432, 0.29361372458497204, 0.22], [0.847, 0.747682955947747, 0.29]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 89, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.74770391, 0.29      ]), [0, 1]])

