Buyer(budget=36.42, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=37.39, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.98, needs=0.15, best_offers=[[2.935, 0.16744293742796548, 0.32], [6.388, 0.45151601095416244, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 18, 5, 5, 5], day_calories=3410, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.95, needs=0.25, best_offers=[[2.935, 0.16744293742796548, 0.32], [0.513, 0.45145612017386827, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 48, 5, 42, 5, 5, 5], day_calories=1980, estimated=[array([0.16744294, 0.32      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=36.76, needs=0.35, best_offers=[[0.199, 0.16613729274019445, 0.3], [0.513, 0.45145612017386827, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 58, 5, 49, 5, 5, 5], day_calories=2530, estimated=[array([0.16744294, 0.32      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=37.9, needs=0.25, best_offers=[[0.285, 0.15965033736473105, 0.35], [0.513, 0.45145612017386827, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 78, 5, 79, 5, 5, 5], day_calories=1980, estimated=[array([0.16203032, 0.38      ]), array([0.45151601, 0.4       ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.13, needs=0.15, best_offers=[[0.285, 0.15965033736473105, 0.35], [0.513, 0.45145612017386827, 0.4], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 95, 5, 79, 5, 5, 5], day_calories=0, estimated=[array([0.16203032, 0.38      ]), array([0.45453983, 0.41      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=39.01, needs=0.25, best_offers=[[0.859, 0.1706681265879051, 0.363], [0.513, 0.45145612017386827, 0.4], [1.071, 0.2718562861677489, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 89, 5, 5, 5], day_calories=2700, estimated=[array([0.16203032, 0.38      ]), array([0.45453983, 0.41      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=38.32, needs=0.35, best_offers=[[0.859, 0.1706681265879051, 0.363], [0.513, 0.45145612017386827, 0.4], [1.071, 0.2718562861677489, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 89, 5, 5, 5], day_calories=2150, estimated=[array([0.16203032, 0.38      ]), array([0.45453983, 0.41      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=38.78, needs=0.45, best_offers=[[0.859, 0.1706681265879051, 0.363], [0.513, 0.45145612017386827, 0.4], [1.071, 0.2718562861677489, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 99, 5, 5, 5], day_calories=1430, estimated=[array([0.16203032, 0.38      ]), array([0.45453983, 0.41      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

