Buyer(budget=83.94, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=84.04, needs=0.05, best_offers=[[27.096, 0.16121405086642795, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=84.41, needs=0.15, best_offers=[[27.096, 0.16121405086642795, 0.37], [41.553, 0.4944124997504786, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=84.91, needs=0.25, best_offers=[[27.096, 0.16121405086642795, 0.37], [0.37, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 45, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16126126, 0.37      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=84.57, needs=0.35, best_offers=[[27.096, 0.16121405086642795, 0.37], [0.37, 0.49229375131332703, 0.32], [0.443, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 65, 5, 5, 5, 5, 5], day_calories=2300, estimated=[array([0.16126126, 0.37      ]), array([0.4944125, 0.33     ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=86.61, needs=0.45, best_offers=[[0.282, 0.15965033736473105, 0.35], [0.269, 0.5004150075206081, 0.31], [0.443, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 89, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27262071, 0.209     ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=88.12, needs=0.53, best_offers=[[0.282, 0.15965033736473105, 0.35], [0.269, 0.5004150075206081, 0.31], [0.443, 0.2726207119193521, 0.209], [1.351, 0.7606424133301394, 0.40249999999999997]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27262071, 0.209     ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=89.28, needs=0.63, best_offers=[[0.282, 0.15965033736473105, 0.35], [0.269, 0.5004150075206081, 0.31], [0.443, 0.2726207119193521, 0.209], [1.351, 0.7606424133301394, 0.40249999999999997]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27262071, 0.209     ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=92.35, needs=0.73, best_offers=[[0.282, 0.15965033736473105, 0.35], [0.269, 0.5004150075206081, 0.31], [0.443, 0.2726207119193521, 0.209], [1.351, 0.7606424133301394, 0.40249999999999997]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27262071, 0.209     ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=93.68, needs=0.83, best_offers=[[0.282, 0.15965033736473105, 0.35], [0.269, 0.5004150075206081, 0.31], [0.443, 0.2726207119193521, 0.209], [1.351, 0.7606424133301394, 0.40249999999999997]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27262071, 0.209     ]), array([0.75495776, 0.39      ]), [0, 1]])

