Buyer(budget=241.6, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=243.88, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=234.39, needs=0.15, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 25, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=236.92, needs=0.25, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.742, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 35, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=242.23, needs=0.35, best_offers=[[-0.029, 0.1839088124947509, 0.4], [2.742, 0.48112862323157185, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.48112862, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=237.12, needs=0.45, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.258, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 55, 5], day_calories=4290, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=241.69, needs=0.55, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.258, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 55, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=247.2, needs=0.65, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.258, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 35, 55, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.57130193, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=249.62, needs=0.75, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.258, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 15, 5, 45, 55, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.50343449, 0.5175    ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

Buyer(budget=255.48, needs=0.85, best_offers=[[-0.029, 0.1839088124947509, 0.4], [8.258, 0.5713019264875203, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 15, 5, 45, 55, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.50343449, 0.5175    ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), [0, 1]])

