Buyer(budget=50.09, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=50.75, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=51.51, needs=0.15, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 35], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=51.62, needs=0.25, best_offers=[[-0.033, 0.15818151655660598, 0.33], [0.352, 0.4625803258285499, 0.404], [0.44, 0.31101076109490156, 0.29], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 52], day_calories=1830, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=51.17, needs=0.35, best_offers=[[0.322, 0.15886595382620533, 0.34], [0.352, 0.4625803258285499, 0.404], [0.425, 0.30984947026949766, 0.28], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 66], day_calories=2450, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31101076, 0.29      ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=51.88, needs=0.45, best_offers=[[0.247, 0.1615838477317702, 0.374], [0.352, 0.4625803258285499, 0.404], [0.425, 0.30984947026949766, 0.28], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 93], day_calories=1980, estimated=[array([0.15886595, 0.34      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=53.36, needs=0.35, best_offers=[[0.43, 0.1604339754958401, 0.36], [0.695, 0.48916610787275516, 0.48300000000000004], [0.425, 0.30984947026949766, 0.28], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=3410, estimated=[array([0.16158385, 0.374     ]), array([0.48063641, 0.46      ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=58.06, needs=0.45, best_offers=[[0.43, 0.1604339754958401, 0.36], [0.695, 0.48916610787275516, 0.48300000000000004], [0.425, 0.30984947026949766, 0.28], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=0, estimated=[array([0.16158385, 0.374     ]), array([0.48916611, 0.483     ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=59.88, needs=0.55, best_offers=[[1.245, 0.16641689324746967, 0.4255], [0.695, 0.48916610787275516, 0.48300000000000004], [0.425, 0.30984947026949766, 0.28], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=1650, estimated=[array([0.16158385, 0.374     ]), array([0.48916611, 0.483     ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

Buyer(budget=61.41, needs=0.65, best_offers=[[1.245, 0.16641689324746967, 0.4255], [1.874, 0.4878828668357592, 0.48], [1.112, 0.3151942065617047, 0.322], [-0.627, 0.7018889118336059, 0.27], [-1.627, 1.7344556920841043, 0.36]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=2930, estimated=[array([0.16641689, 0.4255    ]), array([0.48916611, 0.483     ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), array([1.73445569, 0.36      ])])

