Buyer(budget=237.52, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=242.45, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=228.37, needs=0.15, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 18, 5, 5, 5, 5, 28], day_calories=2530, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=228.78, needs=0.25, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 35, 5, 5, 5, 22, 38], day_calories=1980, estimated=[array([0.15818152, 0.33      ]), array([0.4944125, 0.33     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=221.98, needs=0.35, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 52, 5, 5, 5, 22, 51], day_calories=1980, estimated=[array([0.15818152, 0.33      ]), array([0.4944125, 0.33     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=214.67, needs=0.45, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 18, 72, 5, 5, 5, 22, 64], day_calories=3410, estimated=[array([0.18381871, 0.4       ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=209.74, needs=0.55, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 18, 89, 5, 5, 5, 35, 74], day_calories=3410, estimated=[array([0.18381871, 0.4       ]), array([0.47665077, 0.4485    ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=211.97, needs=0.65, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 18, 100, 5, 5, 5, 35, 87], day_calories=1980, estimated=[array([0.18381871, 0.4       ]), array([0.48916611, 0.483     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=214.22, needs=0.75, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 29, 100, 5, 5, 5, 35, 100], day_calories=1980, estimated=[array([0.18381871, 0.4       ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=213.61, needs=0.85, best_offers=[[3.827, 0.1612035522991199, 0.37], [6.566, 0.4944124997504786, 0.33], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 29, 100, 5, 5, 5, 35, 100], day_calories=0, estimated=[array([0.16641689, 0.4255    ]), array([0.50015672, 0.51      ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

