Buyer(budget=37.61, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=37.96, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=38.79, needs=0.15, best_offers=[[3.332, 0.14961069677654792, 0.35], [-0.251, 0.4054702835309638, 0.22], [5.302, 0.3175996017264207, 0.26]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 5, 5, 5], day_calories=950, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=38.55, needs=0.25, best_offers=[[3.332, 0.14961069677654792, 0.35], [0.38, 0.40404192023275065, 0.21], [0.508, 0.3165288001431089, 0.25]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[42, 5, 5, 5, 5, 5, 5, 5], day_calories=3430, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.3175996, 0.26     ]), [0, 1], [0, 1]])

Buyer(budget=40.34, needs=0.35, best_offers=[[0.729, 0.15154515602361815, 0.374], [0.38, 0.40404192023275065, 0.21], [0.925, 0.31654914631304043, 0.25]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[56, 5, 5, 5, 5, 5, 5, 5], day_calories=2450, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.3165288, 0.25     ]), [0, 1], [0, 1]])

Buyer(budget=39.94, needs=0.45, best_offers=[[0.729, 0.15154515602361815, 0.374], [0.901, 0.40279052768626394, 0.2], [1.121, 0.316581007211509, 0.25]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[73, 5, 5, 5, 5, 5, 5, 5], day_calories=2630, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=40.49, needs=0.55, best_offers=[[0.606, 0.15523831159114065, 0.414], [0.901, 0.40279052768626394, 0.2], [1.121, 0.316581007211509, 0.25]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[90, 5, 5, 5, 5, 5, 5, 5], day_calories=2850, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=44.12, needs=0.65, best_offers=[[0.606, 0.15523831159114065, 0.414], [0.901, 0.40279052768626394, 0.2], [1.121, 0.316581007211509, 0.25]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.15523831, 0.414     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=45.98, needs=0.73, best_offers=[[0.606, 0.15523831159114065, 0.414], [0.901, 0.40279052768626394, 0.2], [1.121, 0.316581007211509, 0.25]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[100, 15, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15523831, 0.414     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=47.65, needs=0.83, best_offers=[[0.606, 0.15523831159114065, 0.414], [0.901, 0.40279052768626394, 0.2], [1.121, 0.316581007211509, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[100, 25, 5, 5, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.15523831, 0.414     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

