Buyer(budget=43.62, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=43.97, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=45.07, needs=0.15, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22], [-0.755, 0.8747569561189099, 0.28]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 25, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=45.81, needs=0.25, best_offers=[[-0.037, 0.1674839842149281, 0.32], [0.316, 0.48112862323157185, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[0, 1, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 31, 5, 13, 5], day_calories=3250, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=47.1, needs=0.35, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 31, 5, 23, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.48112862, 0.36      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=48.54, needs=0.45, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 31, 5, 33, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=48.93, needs=0.55, best_offers=[[-0.037, 0.1674839842149281, 0.32], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 31, 5, 33, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=48.83, needs=0.65, best_offers=[[0.291, 0.18430964566124755, 0.40424999999999994], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 25, 5, 5, 41, 5, 43, 5], day_calories=3080, estimated=[array([0.16748398, 0.32      ]), array([0.47716053, 0.45      ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=51.38, needs=0.75, best_offers=[[0.166, 0.1858545751765138, 0.42], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [-0.075, 0.7859356336000549, 0.37]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 35, 5, 5, 41, 5, 57, 5], day_calories=550, estimated=[array([0.18430965, 0.40425   ]), array([0.50343449, 0.5175    ]), array([0.33364686, 0.22      ]), array([0.87475696, 0.28      ]), [0, 1]])

Buyer(budget=53.28, needs=0.85, best_offers=[[0.166, 0.1858545751765138, 0.42], [1.114, 0.46319614525171077, 0.36], [-0.207, 0.3336468556873092, 0.22], [0.321, 0.8593400439233941, 0.4]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 45, 5, 5, 41, 5, 57, 5], day_calories=1820, estimated=[array([0.18585458, 0.42      ]), array([0.50343449, 0.5175    ]), array([0.33364686, 0.22      ]), array([0.78593563, 0.37      ]), [0, 1]])

