Buyer(budget=95.69, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=95.99, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=96.63, needs=0.15, best_offers=[[-0.047, 0.1627856498140578, 0.24], [55.414, 0.45614357753387247, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=97.21, needs=0.25, best_offers=[[-0.047, 0.1627856498140578, 0.24], [0.33, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 42, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.45614358, 0.38      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=99.64, needs=0.35, best_offers=[[-0.047, 0.1627856498140578, 0.24], [0.33, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 55, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45614358, 0.38      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=98.96, needs=0.45, best_offers=[[-0.047, 0.1627856498140578, 0.24], [1.478, 0.4766507668132244, 0.4485], [1.426, 0.3377874980419395, 0.4], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 75, 5, 5, 5, 5, 5, 5], day_calories=2630, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=99.67, needs=0.55, best_offers=[[-0.047, 0.1627856498140578, 0.24], [1.478, 0.4766507668132244, 0.4485], [1.426, 0.3377874980419395, 0.4], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 85, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.47665077, 0.4485    ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=100.83, needs=0.65, best_offers=[[-0.047, 0.1627856498140578, 0.24], [1.478, 0.4766507668132244, 0.4485], [1.426, 0.3377874980419395, 0.4], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=3030, estimated=[array([0.16278565, 0.24      ]), array([0.47716053, 0.45      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=101.46, needs=0.66, best_offers=[[0.275, 0.16381083778756955, 0.26], [1.478, 0.4766507668132244, 0.4485], [1.426, 0.3377874980419395, 0.4], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=2450, estimated=[array([0.16278565, 0.24      ]), array([0.47716053, 0.45      ]), array([0.35087254, 0.462     ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=101.27, needs=0.76, best_offers=[[0.275, 0.16381083778756955, 0.26], [1.478, 0.4766507668132244, 0.4485], [1.426, 0.3377874980419395, 0.4], [0.821, 0.8593400439233941, 0.4]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=3420, estimated=[array([0.16278565, 0.24      ]), array([0.50343449, 0.5175    ]), array([0.3565688, 0.4851   ]), array([0.83054742, 0.38      ]), [0, 1]])

