Buyer(budget=31.26, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [-2.212, 1.5729573974236246, 0.25]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=31.66, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [-2.212, 1.5729573974236246, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=31.18, needs=0.15, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 5], day_calories=2700, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.5729574, 0.25     ])])

Buyer(budget=33.04, needs=0.25, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 19, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=34.4, needs=0.21, best_offers=[[-0.029, 0.1839088124947509, 0.4], [1.427, 0.46319614525171077, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 32, 5], day_calories=1430, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=35.6, needs=0.31, best_offers=[[-0.029, 0.1839088124947509, 0.4], [1.427, 0.46319614525171077, 0.36], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 45, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=36.3, needs=0.41, best_offers=[[0.623, 0.18253253278143833, 0.38499999999999995], [0.967, 0.4662887512175652, 0.38], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 55, 5], day_calories=1980, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=36.03, needs=0.51, best_offers=[[0.411, 0.18430964566124755, 0.40424999999999994], [0.967, 0.4662887512175652, 0.38], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 69, 5], day_calories=1980, estimated=[array([0.18253253, 0.385     ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=37.04, needs=0.61, best_offers=[[0.411, 0.18430964566124755, 0.40424999999999994], [0.967, 0.4662887512175652, 0.38], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 79, 5], day_calories=550, estimated=[array([0.18430965, 0.40425   ]), array([0.46890729, 0.39      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

Buyer(budget=39.44, needs=0.71, best_offers=[[0.411, 0.18430964566124755, 0.40424999999999994], [0.967, 0.4662887512175652, 0.38], [-0.219, 0.3427396460731093, 0.21], [-0.481, 0.7863062773628442, 0.37], [2.997, 1.5727134743372517, 0.25]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 99, 5], day_calories=2530, estimated=[array([0.18585458, 0.42      ]), array([0.46890729, 0.39      ]), array([0.34273965, 0.21      ]), array([0.78630628, 0.37      ]), array([1.57271347, 0.25      ])])

