Buyer(budget=83.67, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=84.04, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=83.31, needs=0.15, best_offers=[[22.605, 0.18204785917795752, 0.38], [-0.251, 0.4054702835309638, 0.22], [30.465, 0.3416652872476632, 0.198]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 5, 5, 5, 5, 22, 5], day_calories=2550, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=84.64, needs=0.25, best_offers=[[22.605, 0.18204785917795752, 0.38], [0.417, 0.4560909543560866, 0.38], [30.465, 0.3416652872476632, 0.198]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[48, 22, 5, 5, 5, 5, 22, 5], day_calories=2530, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=86.53, needs=0.15, best_offers=[[22.605, 0.18204785917795752, 0.38], [1.988, 0.458803437095888, 0.39], [30.465, 0.3416652872476632, 0.198]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[48, 35, 5, 5, 5, 5, 32, 5], day_calories=1430, estimated=[array([0.1632644, 0.25     ]), array([0.40547028, 0.22      ]), array([0.34166529, 0.198     ]), [0, 1], [0, 1]])

Buyer(budget=86.96, needs=0.25, best_offers=[[22.605, 0.18204785917795752, 0.38], [2.336, 0.46374659327437595, 0.37], [30.465, 0.3416652872476632, 0.198]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[58, 35, 5, 5, 5, 5, 45, 5], day_calories=2860, estimated=[array([0.1632644, 0.25     ]), array([0.45880344, 0.39      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=87.66, needs=0.35, best_offers=[[22.605, 0.18204785917795752, 0.38], [1.495, 0.4662887512175652, 0.38], [30.465, 0.3416652872476632, 0.198]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[58, 35, 5, 5, 5, 5, 52, 5], day_calories=2860, estimated=[array([0.1632644, 0.25     ]), array([0.45880344, 0.39      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=89.03, needs=0.45, best_offers=[[22.605, 0.18204785917795752, 0.38], [0.878, 0.46890729111996954, 0.39], [30.465, 0.3416652872476632, 0.198]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[58, 35, 5, 5, 5, 5, 59, 5], day_calories=2860, estimated=[array([0.1632644, 0.25     ]), array([0.45880344, 0.39      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=89.5, needs=0.55, best_offers=[[22.605, 0.18204785917795752, 0.38], [0.878, 0.46890729111996954, 0.39], [30.465, 0.3416652872476632, 0.198]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[68, 35, 5, 5, 5, 5, 69, 5], day_calories=2000, estimated=[array([0.1632644, 0.25     ]), array([0.45880344, 0.39      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=89.91, needs=0.65, best_offers=[[22.605, 0.18204785917795752, 0.38], [1.24, 0.5137466949017925, 0.54], [30.465, 0.3416652872476632, 0.198]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[78, 45, 5, 5, 5, 5, 82, 5], day_calories=1830, estimated=[array([0.1632644, 0.25     ]), array([0.46890729, 0.39      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

