Buyer(budget=42.38, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=43.57, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=44.4, needs=0.15, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[32, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=44.35, needs=0.25, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.612, 0.49229375131332703, 0.32], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[42, 5, 15, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=43.33, needs=0.35, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.612, 0.49229375131332703, 0.32], [0.431, 0.31654914631304043, 0.25], [-0.607, 0.7840660632120886, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[59, 5, 15, 5, 5, 5, 5, 5], day_calories=3030, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=45.06, needs=0.45, best_offers=[[-0.031, 0.148181516556606, 0.33], [0.612, 0.49229375131332703, 0.32], [0.266, 0.316581007211509, 0.25], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[76, 5, 15, 5, 5, 5, 5, 5], day_calories=800, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=46.87, needs=0.35, best_offers=[[0.787, 0.15523831159114065, 0.414], [0.612, 0.49229375131332703, 0.32], [0.879, 0.31531295584750585, 0.2375], [-0.607, 0.7840660632120886, 0.31]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[100, 5, 25, 5, 5, 5, 5, 5], day_calories=1500, estimated=[array([0.14818152, 0.33      ]), array([0.49229375, 0.32      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=45.76, needs=0.45, best_offers=[[0.787, 0.15523831159114065, 0.414], [0.612, 0.49229375131332703, 0.32], [1.08, 0.31415931356142157, 0.225625], [1.661, 0.8247045276906821, 0.28]], product_found=[1, 0, 1, 1, 0], plan=[], loyalty=[100, 5, 35, 5, 5, 5, 5, 5], day_calories=3020, estimated=[array([0.14818152, 0.33      ]), array([0.49229375, 0.32      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=47.31, needs=0.55, best_offers=[[0.787, 0.15523831159114065, 0.414], [0.612, 0.49229375131332703, 0.32], [1.08, 0.31415931356142157, 0.225625], [1.661, 0.8247045276906821, 0.28]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[100, 5, 35, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15523831, 0.414     ]), array([0.49229375, 0.32      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

Buyer(budget=49.96, needs=0.65, best_offers=[[0.787, 0.15523831159114065, 0.414], [0.612, 0.49229375131332703, 0.32], [1.08, 0.31415931356142157, 0.225625], [1.661, 0.8247045276906821, 0.28]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 55, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15907412, 0.45      ]), array([0.49229375, 0.32      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), [0, 1]])

