Buyer(budget=33.5, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=33.52, needs=0.05, best_offers=[[2.38, 0.16121405086642795, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=34.13, needs=0.15, best_offers=[[2.246, 0.1612035522991199, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 25, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=34.03, needs=0.25, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.269, 0.49229375131332703, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 35, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=34.24, needs=0.35, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 52, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16126126, 0.37      ]), array([0.49229375, 0.32      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=34.71, needs=0.45, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [0.256, 0.2727321233489996, 0.21], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 72, 5, 5, 5, 5, 5], day_calories=2450, estimated=[array([0.16126126, 0.37      ]), array([0.49229375, 0.32      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=36.49, needs=0.51, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [0.256, 0.2727321233489996, 0.21], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 92, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=38.01, needs=0.61, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [0.256, 0.2727321233489996, 0.21], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=37.38, needs=0.71, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [0.256, 0.2727321233489996, 0.21], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 15, 5, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=38.08, needs=0.81, best_offers=[[2.246, 0.1612035522991199, 0.37], [0.308, 0.49234509315540664, 0.32], [0.256, 0.2727321233489996, 0.21], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 100, 5, 5, 15, 5, 5], day_calories=1430, estimated=[array([0.16126126, 0.37      ]), array([0.61478398, 0.29754   ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

