Buyer(budget=50.34, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=50.04, needs=0.05, best_offers=[[11.342, 0.16121405086642795, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=40.15, needs=0.15, best_offers=[[11.342, 0.16121405086642795, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=42.08, needs=0.25, best_offers=[[11.342, 0.16121405086642795, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=43.09, needs=0.35, best_offers=[[0.655, 0.15901389851930162, 0.342], [-0.209, 0.49454454966981787, 0.33], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 52, 5, 5, 5, 5, 5], day_calories=2300, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=44.29, needs=0.45, best_offers=[[0.72, 0.15965033736473105, 0.35], [-0.209, 0.49454454966981787, 0.33], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [-1.897, 1.4437778236672119, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 62, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=44.58, needs=0.55, best_offers=[[0.72, 0.15965033736473105, 0.35], [-0.209, 0.49454454966981787, 0.33], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [0.379, 1.4263916740056346, 0.23715]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 82, 5, 5, 5, 5, 5], day_calories=2700, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=46.68, needs=0.65, best_offers=[[0.72, 0.15965033736473105, 0.35], [-0.209, 0.49454454966981787, 0.33], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [0.379, 1.4263916740056346, 0.23715]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 99, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=48.14, needs=0.75, best_offers=[[0.72, 0.15965033736473105, 0.35], [0.136, 0.40151687844907286, 0.19], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [0.379, 1.4263916740056346, 0.23715]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 100, 5, 5, 5, 5, 5], day_calories=4290, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

Buyer(budget=50.02, needs=0.85, best_offers=[[0.72, 0.15965033736473105, 0.35], [0.061, 0.40151687844907286, 0.19], [0.829, 0.2726207119193521, 0.209], [-0.424, 0.7549577646491814, 0.39], [0.379, 1.4263916740056346, 0.23715]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[22, 5, 100, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.40151688, 0.19      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), array([1.44377782, 0.27      ])])

