Buyer(budget=26.8, needs=0.05, best_offers=[[-0.047, 0.16276722948757355, 0.24], [-0.152, 0.4588132519859909, 0.39], [-0.124, 0.33080280226208686, 0.36], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16276723, 0.24      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=26.8, needs=0.05, best_offers=[[-0.047, 0.16276722948757355, 0.24], [-0.152, 0.4588132519859909, 0.39], [-0.124, 0.33080280226208686, 0.36], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16276723, 0.24      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=26.8, needs=0.05, best_offers=[[-0.047, 0.16276722948757355, 0.24], [-0.152, 0.4588132519859909, 0.39], [-0.124, 0.33080280226208686, 0.36], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16276723, 0.24      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=28.97, needs=0.05, best_offers=[[-0.047, 0.16276722948757355, 0.24], [-0.152, 0.4588132519859909, 0.39], [-0.124, 0.33080280226208686, 0.36], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16276723, 0.24      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=29.25, needs=0.05, best_offers=[[0.9, 0.15044434881761354, 0.36], [0.962, 0.40279052768626394, 0.2], [-0.124, 0.33080280226208686, 0.36], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[18, 5, 5, 5, 25, 5, 5, 5], day_calories=3410, estimated=[array([0.16276723, 0.24      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=29.4, needs=0.15, best_offers=[[0.9, 0.15044434881761354, 0.36], [0.962, 0.40279052768626394, 0.2], [2.439, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[31, 5, 5, 5, 25, 5, 5, 5], day_calories=1600, estimated=[array([0.15044435, 0.36      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=31.56, needs=0.25, best_offers=[[0.9, 0.15044434881761354, 0.36], [0.962, 0.40279052768626394, 0.2], [2.439, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[51, 5, 5, 5, 45, 5, 5, 5], day_calories=0, estimated=[array([0.15044435, 0.36      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=32.68, needs=0.35, best_offers=[[0.9, 0.15044434881761354, 0.36], [0.962, 0.40279052768626394, 0.2], [2.439, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[51, 5, 5, 5, 55, 5, 5, 5], day_calories=2860, estimated=[array([0.15044435, 0.36      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

Buyer(budget=32.89, needs=0.45, best_offers=[[0.9, 0.15044434881761354, 0.36], [1.895, 0.5137466949017925, 0.54], [2.439, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.615, 1.4181321264241773, 0.31]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[61, 5, 5, 5, 65, 5, 5, 5], day_calories=2860, estimated=[array([0.15044435, 0.36      ]), array([0.45881325, 0.39      ]), array([0.3308028, 0.36     ]), array([0.83054742, 0.38      ]), array([1.41813213, 0.31      ])])

