Buyer(budget=37.68, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=37.51, needs=0.05, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 15, 5, 5, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=39.06, needs=0.15, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[25, 25, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=41.24, needs=0.25, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[35, 35, 5, 5, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.14818152, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=44.18, needs=0.35, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[45, 45, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.14884629, 0.34      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=45.09, needs=0.45, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[55, 55, 5, 5, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.15154516, 0.374     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=46.69, needs=0.55, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[55, 65, 5, 5, 5, 5, 5, 15], day_calories=1100, estimated=[array([0.15154516, 0.374     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=47.11, needs=0.65, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[65, 75, 5, 5, 5, 5, 5, 15], day_calories=3300, estimated=[array([0.15154516, 0.374     ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=48.42, needs=0.75, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[75, 85, 5, 5, 5, 5, 5, 15], day_calories=550, estimated=[array([0.15688606, 0.43      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=49.57, needs=0.85, best_offers=[[2.873, 0.16276722948757355, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[75, 95, 15, 5, 5, 5, 5, 15], day_calories=2200, estimated=[array([0.15907412, 0.45      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

