Buyer(budget=108.32, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=108.81, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=109.21, needs=0.15, best_offers=[[29.177, 0.16744293742796548, 0.32], [67.887, 0.45151601095416244, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 28, 18, 5, 5, 5], day_calories=2530, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=117.1, needs=0.25, best_offers=[[29.177, 0.16744293742796548, 0.32], [67.887, 0.45151601095416244, 0.4], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 55, 35, 5, 5, 5], day_calories=1430, estimated=[array([0.16681321, 0.31      ]), array([0.45151601, 0.4       ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=123.86, needs=0.35, best_offers=[[29.177, 0.16744293742796548, 0.32], [4.976, 0.4543933608150149, 0.41], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 55, 42, 5, 5, 5], day_calories=2860, estimated=[array([0.16681321, 0.31      ]), array([0.44609095, 0.38      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=125.64, needs=0.45, best_offers=[[29.177, 0.16744293742796548, 0.32], [4.976, 0.4543933608150149, 0.41], [-0.182, 0.2936468556873092, 0.22]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 65, 52, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45439336, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=127.75, needs=0.55, best_offers=[[1.198, 0.16817206561387932, 0.33], [4.976, 0.4543933608150149, 0.41], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 75, 59, 5, 5, 5], day_calories=2750, estimated=[array([0.16744294, 0.32      ]), array([0.45439336, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=130.64, needs=0.65, best_offers=[[1.198, 0.16817206561387932, 0.33], [4.976, 0.4543933608150149, 0.41], [-0.182, 0.2936468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 22, 85, 59, 5, 5, 5], day_calories=2530, estimated=[array([0.16817207, 0.33      ]), array([0.45439336, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=133.49, needs=0.75, best_offers=[[1.198, 0.16817206561387932, 0.33], [4.976, 0.4543933608150149, 0.41], [0.275, 0.2710112522993819, 0.19]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 42, 85, 59, 5, 5, 5], day_calories=2850, estimated=[array([0.16817207, 0.33      ]), array([0.45439336, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=136.58, needs=0.85, best_offers=[[1.198, 0.16817206561387932, 0.33], [4.976, 0.4543933608150149, 0.41], [0.275, 0.2710112522993819, 0.19]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 42, 95, 72, 5, 5, 5], day_calories=2530, estimated=[array([0.16817207, 0.33      ]), array([0.45439336, 0.41      ]), array([0.29364686, 0.22      ]), [0, 1], [0, 1]])

