Buyer(budget=26.28, needs=0.05, best_offers=[[-0.037, 0.16745040663953892, 0.32], [-0.148, 0.4488132519859909, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16745041, 0.32      ]), array([0.44881325, 0.39      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=26.9, needs=0.05, best_offers=[[-0.037, 0.16745040663953892, 0.32], [-0.148, 0.4488132519859909, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16745041, 0.32      ]), array([0.44881325, 0.39      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=27.99, needs=0.05, best_offers=[[-0.037, 0.16745040663953892, 0.32], [-0.148, 0.4488132519859909, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 11, 5], day_calories=0, estimated=[array([0.16745041, 0.32      ]), array([0.44881325, 0.39      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=27.76, needs=0.05, best_offers=[[-0.037, 0.16745040663953892, 0.32], [0.842, 0.4543933608150149, 0.41], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 5], day_calories=2860, estimated=[array([0.16745041, 0.32      ]), array([0.44881325, 0.39      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=29.17, needs=0.15, best_offers=[[0.522, 0.16713681112963177, 0.315], [0.842, 0.4543933608150149, 0.41], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 38, 5], day_calories=550, estimated=[array([0.16745041, 0.32      ]), array([0.44881325, 0.39      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=29.98, needs=0.25, best_offers=[[0.582, 0.16817206561387932, 0.33], [0.94, 0.4489322881784583, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 51, 5], day_calories=2530, estimated=[array([0.16745041, 0.32      ]), array([0.45439336, 0.41      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=30.44, needs=0.35, best_offers=[[0.582, 0.16817206561387932, 0.33], [0.94, 0.4489322881784583, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 51, 5], day_calories=0, estimated=[array([0.16817207, 0.33      ]), array([0.45439336, 0.41      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=31.37, needs=0.45, best_offers=[[0.582, 0.16817206561387932, 0.33], [0.94, 0.4489322881784583, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 61, 5], day_calories=1430, estimated=[array([0.16817207, 0.33      ]), array([0.45439336, 0.41      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

Buyer(budget=32.6, needs=0.55, best_offers=[[0.582, 0.16817206561387932, 0.33], [0.94, 0.4489322881784583, 0.39], [-0.207, 0.33361562471960055, 0.22], [-0.746, 0.8647569561189099, 0.28], [-2.09, 1.904839842149281, 0.32]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 71, 5], day_calories=2860, estimated=[array([0.16817207, 0.33      ]), array([0.45742474, 0.42      ]), array([0.33361562, 0.22      ]), array([0.86475696, 0.28      ]), array([1.90483984, 0.32      ])])

