Buyer(budget=36.84, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=37.6, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=38.48, needs=0.15, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [-0.627, 0.7018889118336059, 0.27]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 25], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=39.63, needs=0.25, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3], [0.211, 0.6989614399091678, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 35], day_calories=3640, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=40.96, needs=0.35, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [1.17, 0.30984947026949766, 0.28], [1.271, 0.6923521357092028, 0.234]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 55], day_calories=3420, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.69896144, 0.26      ]), [0, 1]])

Buyer(budget=41.58, needs=0.45, best_offers=[[1.123, 0.1615838477317702, 0.374], [-0.146, 0.4617264374842528, 0.4], [1.17, 0.30984947026949766, 0.28], [2.044, 0.6939040796670765, 0.24]], product_found=[1, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 75], day_calories=2370, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=43.3, needs=0.55, best_offers=[[1.123, 0.1615838477317702, 0.374], [-0.146, 0.4617264374842528, 0.4], [1.17, 0.30984947026949766, 0.28], [2.044, 0.6939040796670765, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 85], day_calories=1100, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=45.62, needs=0.65, best_offers=[[0.338, 0.16124155399193413, 0.37], [-0.146, 0.4617264374842528, 0.4], [1.17, 0.30984947026949766, 0.28], [2.044, 0.6939040796670765, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 92], day_calories=550, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=47.37, needs=0.75, best_offers=[[0.37, 0.16641689324746967, 0.4255], [0.834, 0.4958397949768266, 0.5], [1.17, 0.30984947026949766, 0.28], [2.044, 0.6939040796670765, 0.24]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=2530, estimated=[array([0.16158385, 0.374     ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

Buyer(budget=49.8, needs=0.85, best_offers=[[0.37, 0.16641689324746967, 0.4255], [0.834, 0.4958397949768266, 0.5], [1.17, 0.30984947026949766, 0.28], [2.044, 0.6939040796670765, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 100], day_calories=550, estimated=[array([0.16641689, 0.4255    ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), array([0.70188891, 0.27      ]), [0, 1]])

