Buyer(budget=33.07, needs=0.05, best_offers=[[-0.029, 0.1839088124947509, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=32.6, needs=0.05, best_offers=[[1.858, 0.18205907090756646, 0.38], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 15, 5], day_calories=2200, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=33.42, needs=0.15, best_offers=[[1.858, 0.18205907090756646, 0.38], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 28, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=34.73, needs=0.25, best_offers=[[0.251, 0.18381870672462275, 0.4], [-0.184, 0.4913367076252313, 0.36], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 36, 5], day_calories=550, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=35.31, needs=0.35, best_offers=[[0.38, 0.16327457315652022, 0.25], [0.768, 0.458803437095888, 0.39], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 18, 5, 5, 5, 5, 53, 5], day_calories=3410, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=35.43, needs=0.45, best_offers=[[0.38, 0.16327457315652022, 0.25], [1.094, 0.4766507668132244, 0.4485], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 31, 5, 5, 5, 5, 63, 5], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.49133671, 0.36      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=36.71, needs=0.55, best_offers=[[0.38, 0.16327457315652022, 0.25], [1.094, 0.4766507668132244, 0.4485], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 44, 5, 5, 5, 5, 63, 5], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.47665077, 0.4485    ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=37.43, needs=0.65, best_offers=[[0.38, 0.16327457315652022, 0.25], [1.094, 0.4766507668132244, 0.4485], [-0.219, 0.3427396460731093, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 54, 5, 5, 5, 5, 63, 15], day_calories=2860, estimated=[array([0.18390881, 0.4       ]), array([0.47665077, 0.4485    ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=38.09, needs=0.75, best_offers=[[0.38, 0.16327457315652022, 0.25], [1.094, 0.4766507668132244, 0.4485], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 64, 15, 5, 5, 5, 63, 15], day_calories=2750, estimated=[array([0.18390881, 0.4       ]), array([0.50015672, 0.51      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

Buyer(budget=38.96, needs=0.85, best_offers=[[0.38, 0.16327457315652022, 0.25], [1.094, 0.4766507668132244, 0.4485], [-0.219, 0.3427396460731093, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 74, 25, 5, 5, 5, 63, 25], day_calories=0, estimated=[array([0.18390881, 0.4       ]), array([0.50015672, 0.51      ]), array([0.34273965, 0.21      ]), [0, 1], [0, 1]])

