Buyer(budget=26.91, needs=0.05, best_offers=[[-0.031, 0.14814550930660014, 0.33], [-0.244, 0.4068344601059116, 0.23], [-0.173, 0.3176092037748345, 0.26], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3176092, 0.26     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=26.91, needs=0.05, best_offers=[[-0.031, 0.14814550930660014, 0.33], [-0.244, 0.4068344601059116, 0.23], [-0.173, 0.3176092037748345, 0.26], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3176092, 0.26     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=27.91, needs=0.05, best_offers=[[-0.031, 0.14814550930660014, 0.33], [-0.244, 0.4068344601059116, 0.23], [-0.173, 0.3176092037748345, 0.26], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3176092, 0.26     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=29.11, needs=0.05, best_offers=[[0.344, 0.15154515602361815, 0.374], [-0.244, 0.4068344601059116, 0.23], [-0.173, 0.3176092037748345, 0.26], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 18, 5, 5, 5], day_calories=550, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3176092, 0.26     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=28.61, needs=0.15, best_offers=[[0.725, 0.17710333756507773, 0.3145], [0.962, 0.5713019264875203, 0.36], [1.251, 0.35779350314150604, 0.34], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 43, 25, 5, 5], day_calories=3810, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3176092, 0.26     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=29.62, needs=0.25, best_offers=[[0.725, 0.17710333756507773, 0.3145], [0.962, 0.5713019264875203, 0.36], [1.251, 0.35779350314150604, 0.34], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[0, 0, 1, 1, 0], plan=[], loyalty=[5, 5, 5, 5, 63, 42, 5, 5], day_calories=0, estimated=[array([0.14814551, 0.33      ]), array([0.40683446, 0.23      ]), array([0.3577935, 0.34     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=30.33, needs=0.35, best_offers=[[0.725, 0.17710333756507773, 0.3145], [0.962, 0.5713019264875203, 0.36], [1.251, 0.35779350314150604, 0.34], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 73, 52, 5, 5], day_calories=800, estimated=[array([0.15154516, 0.374     ]), array([0.40683446, 0.23      ]), array([0.3577935, 0.34     ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=29.68, needs=0.45, best_offers=[[0.725, 0.17710333756507773, 0.3145], [0.962, 0.5713019264875203, 0.36], [0.718, 0.3577360175693577, 0.4], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 83, 66, 5, 5], day_calories=1750, estimated=[array([0.18988356, 0.45751888]), array([0.57130193, 0.36      ]), array([0.35773602, 0.4       ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

Buyer(budget=29.18, needs=0.55, best_offers=[[0.725, 0.17710333756507773, 0.3145], [0.962, 0.5713019264875203, 0.36], [0.718, 0.3577360175693577, 0.4], [-0.587, 0.7872520331976944, 0.32], [-1.512, 1.4314550930660013, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 93, 76, 5, 5], day_calories=4510, estimated=[array([0.18988356, 0.45751888]), array([0.57130193, 0.36      ]), array([0.35773602, 0.4       ]), array([0.78725203, 0.32      ]), array([1.43145509, 0.33      ])])

