Buyer(budget=44.37, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=46.04, needs=0.05, best_offers=[[-0.033, 0.15818151655660598, 0.33], [-0.146, 0.4617264374842528, 0.4], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 15], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=50.66, needs=0.15, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[22, 5, 5, 5, 5, 5, 5, 28], day_calories=2530, estimated=[array([0.15818152, 0.33      ]), array([0.46172644, 0.4       ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=62.0, needs=0.25, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[39, 5, 5, 5, 5, 5, 5, 41], day_calories=1430, estimated=[array([0.15818152, 0.33      ]), array([0.40366028, 0.207     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=72.07, needs=0.35, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[49, 5, 5, 5, 5, 5, 5, 41], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.40366028, 0.207     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=76.21, needs=0.45, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 0, 1, 0, 0], plan=[], loyalty=[59, 5, 5, 5, 5, 5, 5, 51], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.40366028, 0.207     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=80.4, needs=0.55, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[69, 5, 5, 5, 15, 5, 5, 61], day_calories=4290, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=87.38, needs=0.65, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[86, 5, 5, 5, 25, 5, 5, 71], day_calories=0, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=92.72, needs=0.75, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[96, 5, 15, 5, 25, 5, 5, 71], day_calories=1430, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

Buyer(budget=98.7, needs=0.85, best_offers=[[6.512, 0.14961069677654792, 0.35], [9.274, 0.4036602805234537, 0.20700000000000002], [-0.148, 0.31233635032886786, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 25, 5, 25, 5, 5, 81], day_calories=2860, estimated=[array([0.15818152, 0.33      ]), array([0.46258033, 0.404     ]), array([0.31233635, 0.3       ]), [0, 1], [0, 1]])

