Buyer(budget=38.28, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=40.09, needs=0.05, best_offers=[[-0.037, 0.1674839842149281, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 15, 5, 5, 5], day_calories=0, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=41.95, needs=0.15, best_offers=[[3.935, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 28, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=42.99, needs=0.25, best_offers=[[3.935, 0.16744293742796548, 0.32], [2.191, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 38, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=43.6, needs=0.35, best_offers=[[3.935, 0.16744293742796548, 0.32], [2.191, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 38, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45145612, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=47.04, needs=0.45, best_offers=[[3.935, 0.16744293742796548, 0.32], [2.191, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 48, 5, 5, 5], day_calories=1650, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=49.82, needs=0.55, best_offers=[[3.935, 0.16744293742796548, 0.32], [2.191, 0.45145612017386827, 0.4], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 15, 48, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=51.06, needs=0.65, best_offers=[[3.935, 0.16744293742796548, 0.32], [1.502, 0.45436590597951576, 0.40950000000000003], [-0.207, 0.3336468556873092, 0.22]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 15, 55, 5, 5, 5], day_calories=2860, estimated=[array([0.16748398, 0.32      ]), array([0.45172644, 0.4       ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=56.11, needs=0.75, best_offers=[[3.935, 0.16744293742796548, 0.32], [1.502, 0.45436590597951576, 0.40950000000000003], [0.228, 0.29184857376795054, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 15, 5, 35, 65, 5, 5, 5], day_calories=950, estimated=[array([0.16748398, 0.32      ]), array([0.45436591, 0.4095    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

Buyer(budget=58.16, needs=0.85, best_offers=[[3.935, 0.16744293742796548, 0.32], [1.502, 0.45436590597951576, 0.40950000000000003], [0.228, 0.29184857376795054, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 25, 5, 45, 65, 5, 5, 5], day_calories=1100, estimated=[array([0.16748398, 0.32      ]), array([0.45436591, 0.4095    ]), array([0.33364686, 0.22      ]), [0, 1], [0, 1]])

