Buyer(budget=61.27, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=61.69, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=63.26, needs=0.15, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 28, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=64.47, needs=0.25, best_offers=[[-0.047, 0.1627856498140578, 0.24], [0.728, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 38, 5, 5, 5, 5, 5, 5], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=67.47, needs=0.35, best_offers=[[-0.047, 0.1627856498140578, 0.24], [1.528, 0.458803437095888, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 48, 5, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16278565, 0.24      ]), array([0.45609095, 0.38      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=67.66, needs=0.45, best_offers=[[-0.047, 0.1627856498140578, 0.24], [2.367, 0.48063641020090064, 0.46], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 58, 5, 5, 5, 5, 5, 15], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=68.12, needs=0.55, best_offers=[[-0.047, 0.1627856498140578, 0.24], [2.367, 0.48063641020090064, 0.46], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 68, 5, 5, 5, 5, 5, 15], day_calories=2860, estimated=[array([0.16278565, 0.24      ]), array([0.48063641, 0.46      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=69.12, needs=0.65, best_offers=[[-0.047, 0.1627856498140578, 0.24], [2.367, 0.48063641020090064, 0.46], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 78, 5, 5, 5, 5, 5, 25], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.48063641, 0.46      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=69.99, needs=0.75, best_offers=[[-0.047, 0.1627856498140578, 0.24], [2.367, 0.48063641020090064, 0.46], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 78, 5, 15, 5, 5, 5, 25], day_calories=1430, estimated=[array([0.16278565, 0.24      ]), array([0.48063641, 0.46      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

Buyer(budget=70.75, needs=0.85, best_offers=[[0.037, 0.164361214833815, 0.27], [2.367, 0.48063641020090064, 0.46], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 88, 5, 15, 5, 5, 5, 25], day_calories=2750, estimated=[array([0.16278565, 0.24      ]), array([0.48063641, 0.46      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), [0, 1]])

