Buyer(budget=36.62, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=36.62, needs=0.05, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 15, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=41.52, needs=0.15, best_offers=[[-0.034, 0.18044556920841043, 0.36], [-0.214, 0.5489835300359232, 0.35], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 25, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=51.56, needs=0.25, best_offers=[[-0.034, 0.18044556920841043, 0.36], [1.846, 0.40404192023275065, 0.21], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 35, 5, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=60.75, needs=0.35, best_offers=[[-0.034, 0.18044556920841043, 0.36], [1.846, 0.40404192023275065, 0.21], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[25, 5, 5, 5, 5, 35, 5, 5], day_calories=0, estimated=[array([0.18044557, 0.36      ]), array([0.40404192, 0.21      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=62.44, needs=0.45, best_offers=[[-0.034, 0.18044556920841043, 0.36], [7.737, 0.46374659327437595, 0.37], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[35, 5, 5, 5, 5, 45, 15, 5], day_calories=4290, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=64.43, needs=0.55, best_offers=[[-0.034, 0.18044556920841043, 0.36], [7.737, 0.46374659327437595, 0.37], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[45, 5, 5, 5, 5, 55, 15, 5], day_calories=1430, estimated=[array([0.18044557, 0.36      ]), array([0.54898353, 0.35      ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=65.19, needs=0.65, best_offers=[[-0.034, 0.18044556920841043, 0.36], [7.737, 0.46374659327437595, 0.37], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[45, 5, 15, 5, 5, 55, 25, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.57763536, 0.342     ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=67.14, needs=0.75, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.504, 0.4571328428704964, 0.3835], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[45, 5, 15, 5, 5, 55, 32, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.57763536, 0.342     ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

Buyer(budget=67.95, needs=0.85, best_offers=[[-0.034, 0.18044556920841043, 0.36], [0.318, 0.45622090847824204, 0.38], [-0.151, 0.35636303311321194, 0.33], [-0.627, 0.7808408758221697, 0.3]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[45, 5, 15, 5, 5, 55, 39, 5], day_calories=2860, estimated=[array([0.18044557, 0.36      ]), array([0.57763536, 0.342     ]), array([0.35636303, 0.33      ]), array([0.78084088, 0.3       ]), [0, 1]])

