Buyer(budget=127.56, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=129.23, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=130.49, needs=0.15, best_offers=[[38.985, 0.14961069677654792, 0.35], [-0.251, 0.4054702835309638, 0.22], [57.524, 0.27270459775604233, 0.21]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[28, 5, 15, 5, 5, 5, 5, 5], day_calories=2550, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=132.39, needs=0.25, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[45, 5, 25, 5, 5, 5, 5, 5], day_calories=1980, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=133.94, needs=0.35, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[55, 5, 42, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.2727046, 0.21     ]), [0, 1], [0, 1]])

Buyer(budget=137.09, needs=0.45, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[55, 5, 59, 5, 5, 5, 5, 5], day_calories=3960, estimated=[array([0.1496107, 0.35     ]), array([0.49229375, 0.32      ]), array([0.2727046, 0.21     ]), [0, 1], [0, 1]])

Buyer(budget=140.61, needs=0.55, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[65, 5, 76, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.15965034, 0.35      ]), array([0.49229375, 0.32      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=141.48, needs=0.65, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[75, 5, 93, 15, 5, 5, 5, 5], day_calories=1200, estimated=[array([0.15965034, 0.35      ]), array([0.50041501, 0.31      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=144.72, needs=0.75, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[75, 5, 100, 15, 5, 5, 15, 5], day_calories=4290, estimated=[array([0.15965034, 0.35      ]), array([0.50041501, 0.31      ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

Buyer(budget=146.16, needs=0.85, best_offers=[[38.985, 0.14961069677654792, 0.35], [2.043, 0.49229375131332703, 0.32], [57.524, 0.27270459775604233, 0.21]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[75, 5, 100, 15, 5, 15, 15, 5], day_calories=2860, estimated=[array([0.15965034, 0.35      ]), array([0.45713284, 0.3835    ]), array([0.31765236, 0.26      ]), [0, 1], [0, 1]])

