Buyer(budget=241.6, needs=0.05, best_offers=[[-0.031, 0.148181516556606, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=245.15, needs=0.05, best_offers=[[6.563, 0.14814550930660014, 0.33], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 5, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=236.53, needs=0.15, best_offers=[[5.625, 0.14961069677654792, 0.35], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[35, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.14818152, 0.33      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=237.55, needs=0.25, best_offers=[[1.477, 0.14884629353892487, 0.34], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[45, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.1496107, 0.35     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=241.49, needs=0.35, best_offers=[[4.24, 0.15154515602361815, 0.374], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [-0.607, 0.7840660632120886, 0.31], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[62, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.1496107, 0.35     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=232.26, needs=0.45, best_offers=[[4.184, 0.15044434881761354, 0.36], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [12.238, 0.8108873307629012, 0.33], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[72, 5, 5, 5, 5, 5, 5, 5], day_calories=2920, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=226.62, needs=0.55, best_offers=[[4.184, 0.15044434881761354, 0.36], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [12.238, 0.8108873307629012, 0.33], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.15154516, 0.374     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=231.96, needs=0.65, best_offers=[[4.184, 0.15044434881761354, 0.36], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [12.238, 0.8108873307629012, 0.33], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.15523831, 0.414     ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=234.27, needs=0.75, best_offers=[[4.184, 0.15044434881761354, 0.36], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [12.238, 0.8108873307629012, 0.33], [-1.472, 1.4490687730179332, 0.34]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.15688606, 0.43      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.78406606, 0.31      ]), array([1.44906877, 0.34      ])])

Buyer(budget=238.71, needs=0.85, best_offers=[[4.184, 0.15044434881761354, 0.36], [-0.251, 0.4054702835309638, 0.22], [-0.173, 0.317652359929688, 0.26], [12.238, 0.8108873307629012, 0.33], [-1.472, 1.4490687730179332, 0.34]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[100, 5, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.15907412, 0.45      ]), array([0.40547028, 0.22      ]), array([0.31765236, 0.26      ]), array([0.81088733, 0.33      ]), array([1.44906877, 0.34      ])])

