Buyer(budget=33.61, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=33.91, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=34.13, needs=0.15, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 28, 5, 5, 5, 5], day_calories=1820, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=35.83, needs=0.25, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 18, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=36.55, needs=0.35, best_offers=[[0.566, 0.15886595382620533, 0.34], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[1, 0, 0, 1, 0], plan=[], loyalty=[5, 5, 5, 31, 5, 5, 5, 22], day_calories=3470, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=37.31, needs=0.45, best_offers=[[0.566, 0.15886595382620533, 0.34], [1.289, 0.46284038801489474, 0.437], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 44, 5, 5, 5, 32], day_calories=1430, estimated=[array([0.15886595, 0.34      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=37.96, needs=0.55, best_offers=[[0.566, 0.15886595382620533, 0.34], [1.289, 0.46284038801489474, 0.437], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[15, 5, 5, 44, 5, 5, 5, 32], day_calories=2860, estimated=[array([0.15886595, 0.34      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=39.92, needs=0.65, best_offers=[[0.566, 0.15886595382620533, 0.34], [1.289, 0.46284038801489474, 0.437], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[25, 5, 5, 54, 5, 5, 5, 32], day_calories=0, estimated=[array([0.15886595, 0.34      ]), array([0.40279053, 0.2       ]), array([0.29364686, 0.22      ]), array([0.718999, 0.26    ]), [0, 1]])

Buyer(budget=40.24, needs=0.75, best_offers=[[0.566, 0.15886595382620533, 0.34], [1.289, 0.46284038801489474, 0.437], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[25, 5, 15, 64, 5, 5, 5, 42], day_calories=1820, estimated=[array([0.15886595, 0.34      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), [0, 1]])

Buyer(budget=40.1, needs=0.85, best_offers=[[0.566, 0.15886595382620533, 0.34], [1.289, 0.46284038801489474, 0.437], [-0.182, 0.2936468556873092, 0.22], [4.511, 0.7189990043160518, 0.26]], product_found=[0, 0, 0, 1, 0], plan=[], loyalty=[25, 5, 15, 74, 5, 5, 5, 52], day_calories=3640, estimated=[array([0.15886595, 0.34      ]), array([0.46284039, 0.437     ]), array([0.29364686, 0.22      ]), array([0.7408812, 0.357    ]), [0, 1]])

