Buyer(budget=46.63, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=2380, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=47.31, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=48.01, needs=0.15, best_offers=[[7.008, 0.14961069677654792, 0.35], [10.003, 0.4036602805234537, 0.20700000000000002], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[22, 5, 28, 5, 5, 5, 5, 5], day_calories=3410, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=50.73, needs=0.25, best_offers=[[7.008, 0.14961069677654792, 0.35], [0.687, 0.40404192023275065, 0.21], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[39, 5, 28, 5, 5, 5, 5, 5], day_calories=1980, estimated=[array([0.1496107, 0.35     ]), array([0.40366028, 0.207     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=57.55, needs=0.35, best_offers=[[7.008, 0.14961069677654792, 0.35], [1.361, 0.4027590808430145, 0.2], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[49, 5, 38, 5, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.14884629, 0.34      ]), array([0.40366028, 0.207     ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=60.02, needs=0.45, best_offers=[[7.008, 0.14961069677654792, 0.35], [1.361, 0.4027590808430145, 0.2], [-0.179, 0.27186724147886554, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[69, 5, 51, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=62.75, needs=0.55, best_offers=[[7.008, 0.14961069677654792, 0.35], [2.813, 0.4489322881784583, 0.39], [-0.179, 0.27186724147886554, 0.2]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[79, 5, 61, 5, 15, 5, 5, 5], day_calories=4290, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=67.65, needs=0.65, best_offers=[[7.008, 0.14961069677654792, 0.35], [2.813, 0.4489322881784583, 0.39], [0.575, 0.2718562861677489, 0.2]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[89, 5, 78, 5, 15, 5, 5, 5], day_calories=400, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=71.42, needs=0.75, best_offers=[[0.872, 0.159074115158639, 0.45], [2.813, 0.4489322881784583, 0.39], [0.575, 0.2718562861677489, 0.2]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[96, 5, 98, 5, 25, 5, 5, 5], day_calories=2750, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

Buyer(budget=76.5, needs=0.85, best_offers=[[0.872, 0.159074115158639, 0.45], [2.813, 0.4489322881784583, 0.39], [0.575, 0.2718562861677489, 0.2]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[100, 5, 100, 5, 25, 5, 5, 5], day_calories=1100, estimated=[array([0.15907412, 0.45      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), [0, 1], [0, 1]])

