Buyer(budget=262.92, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=550, estimated=[array([0.16278565, 0.24      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=266.71, needs=0.05, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 15, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.16278565, 0.24      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=257.17, needs=0.15, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 25, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16678193, 0.31      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=242.21, needs=0.25, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 35, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.16678193, 0.31      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=231.37, needs=0.35, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 45, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.16743125, 0.32      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=221.14, needs=0.45, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 25, 5, 55, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16814332, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=228.54, needs=0.55, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 35, 15, 55, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.16814332, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=229.43, needs=0.65, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 45, 25, 65, 5, 5, 5, 5], day_calories=2750, estimated=[array([0.16814332, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=234.89, needs=0.75, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 45, 35, 75, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16814332, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

Buyer(budget=244.2, needs=0.85, best_offers=[[14.373, 0.16678193137155434, 0.31]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 55, 35, 75, 5, 5, 5, 5], day_calories=3300, estimated=[array([0.16814332, 0.33      ]), [0, 1], [0, 1], [0, 1], [0, 1]])

