Buyer(budget=34.1, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=35.25, needs=0.05, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 15, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=36.57, needs=0.15, best_offers=[[-0.047, 0.1627856498140578, 0.24], [-0.152, 0.4589746587895088, 0.39], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 26, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=37.3, needs=0.25, best_offers=[[0.536, 0.16326440007155446, 0.25], [1.053, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 39, 5, 5, 5, 5, 5, 5], day_calories=2530, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=38.52, needs=0.35, best_offers=[[0.536, 0.16326440007155446, 0.25], [1.053, 0.4560909543560866, 0.38], [-0.129, 0.3293223533572821, 0.35], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 52, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=39.79, needs=0.45, best_offers=[[0.536, 0.16326440007155446, 0.25], [1.053, 0.4560909543560866, 0.38], [0.907, 0.3377874980419395, 0.4], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 72, 5, 5, 5, 5, 5, 5], day_calories=1600, estimated=[array([0.16278565, 0.24      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=43.06, needs=0.55, best_offers=[[0.371, 0.16437166721436347, 0.27], [1.053, 0.4560909543560866, 0.38], [1.107, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 1, 0, 0], plan=[], loyalty=[5, 82, 5, 5, 5, 5, 5, 5], day_calories=2300, estimated=[array([0.1632644, 0.25     ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=43.97, needs=0.65, best_offers=[[0.476, 0.1643680589632603, 0.27], [1.053, 0.4560909543560866, 0.38], [1.107, 0.34167494319541336, 0.42000000000000004], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 92, 5, 5, 5, 5, 5, 5], day_calories=1100, estimated=[array([0.16437167, 0.27      ]), array([0.45897466, 0.39      ]), array([0.32932235, 0.35      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=46.06, needs=0.75, best_offers=[[0.476, 0.1643680589632603, 0.27], [1.273, 0.5090042451013539, 0.53], [1.151, 0.3565687972778683, 0.48510000000000003], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[1, 1, 1, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=2930, estimated=[array([0.16437167, 0.27      ]), array([0.45897466, 0.39      ]), array([0.34167494, 0.42      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

Buyer(budget=48.09, needs=0.85, best_offers=[[0.476, 0.1643680589632603, 0.27], [1.273, 0.5090042451013539, 0.53], [1.151, 0.3565687972778683, 0.48510000000000003], [-0.487, 0.8305474197519257, 0.38], [-1.502, 1.4218151655660596, 0.33]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 100, 5, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16437167, 0.27      ]), array([0.50900425, 0.53      ]), array([0.34167494, 0.42      ]), array([0.83054742, 0.38      ]), array([1.42181517, 0.33      ])])

