Buyer(budget=37.09, needs=0.05, best_offers=[[-0.038, 0.16681321264241772, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=6900, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=32.73, needs=0.05, best_offers=[[4.317, 0.16678193137155434, 0.31], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 15, 5, 5, 5, 5], day_calories=2200, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=33.97, needs=0.15, best_offers=[[3.828, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 23, 5, 5, 5, 5], day_calories=550, estimated=[array([0.16681321, 0.31      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=36.77, needs=0.25, best_offers=[[3.828, 0.16744293742796548, 0.32], [-0.143, 0.4517264374842528, 0.4], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 16, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=42.5, needs=0.35, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [-2.182, 1.4529512944261866, 0.23]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 29, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=43.14, needs=0.45, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [4.229, 1.482905036057545, 0.25]], product_found=[1, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 42, 5, 5, 5, 5], day_calories=2700, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=45.15, needs=0.55, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [2.506, 1.477808159334153, 0.24]], product_found=[0, 0, 0, 0, 1], plan=[], loyalty=[5, 5, 5, 49, 5, 5, 5, 5], day_calories=2700, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=49.12, needs=0.65, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [2.506, 1.477808159334153, 0.24]], product_found=[0, 1, 1, 0, 0], plan=[], loyalty=[5, 5, 5, 62, 5, 5, 5, 5], day_calories=1430, estimated=[array([0.16744294, 0.32      ]), array([0.45172644, 0.4       ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=53.02, needs=0.75, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [2.506, 1.477808159334153, 0.24]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 72, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16744294, 0.32      ]), array([0.45451142, 0.41      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

Buyer(budget=56.38, needs=0.85, best_offers=[[3.828, 0.16744293742796548, 0.32], [1.786, 0.4461680158195276, 0.38], [-0.182, 0.2936468556873092, 0.22], [-0.665, 0.71913089982422, 0.26], [2.506, 1.477808159334153, 0.24]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 72, 5, 15, 5, 5], day_calories=2860, estimated=[array([0.16744294, 0.32      ]), array([0.45451142, 0.41      ]), array([0.29364686, 0.22      ]), array([0.7191309, 0.26     ]), array([1.45295129, 0.23      ])])

