Buyer(budget=39.53, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 5, 5, 5, 5, 5, 5], day_calories=4200, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=41.01, needs=0.05, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 0, 0, 0, 0], plan=[], loyalty=[5, 5, 15, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=43.46, needs=0.15, best_offers=[[-0.029, 0.16126125547256887, 0.37], [-0.209, 0.49454454966981787, 0.33], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[1, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 28, 5, 5, 5, 5, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=44.76, needs=0.25, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.92, 0.48112862323157185, 0.36], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 15, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=45.34, needs=0.35, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.939, 0.46319614525171077, 0.36], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 25, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.49454455, 0.33      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=48.37, needs=0.45, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.151, 0.46374659327437595, 0.37], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 32, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.48112862, 0.36      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=50.56, needs=0.55, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.407, 0.4662887512175652, 0.38], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 38, 5, 5, 5, 42, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.48112862, 0.36      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=52.87, needs=0.65, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.407, 0.4662887512175652, 0.38], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 48, 5, 5, 5, 42, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.46628875, 0.38      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=53.77, needs=0.75, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.407, 0.4662887512175652, 0.38], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 58, 5, 5, 5, 42, 5], day_calories=0, estimated=[array([0.16126126, 0.37      ]), array([0.46628875, 0.38      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

Buyer(budget=54.35, needs=0.85, best_offers=[[-0.029, 0.16126125547256887, 0.37], [1.407, 0.4662887512175652, 0.38], [-0.179, 0.27186724147886554, 0.2], [-0.424, 0.7549577646491814, 0.39]], product_found=[0, 1, 0, 0, 0], plan=[], loyalty=[5, 5, 68, 5, 15, 5, 52, 5], day_calories=2860, estimated=[array([0.16126126, 0.37      ]), array([0.46628875, 0.38      ]), array([0.27186724, 0.2       ]), array([0.75495776, 0.39      ]), [0, 1]])

